Sub. Classification. Pathway,Main. Classification. Pathway
Nonribosomal peptide structures,Metabolism of terpenoids and polyketides
Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides
Biosynthesis of vancomycin group antibiotics,Metabolism of terpenoids and polyketides
Phenylpropanoid biosynthesis,Biosynthesis of other secondary metabolites
"Stilbenoid, diarylheptanoid and gingerol biosynthesis",Biosynthesis of other secondary metabolites
Flavonoid biosynthesis,Biosynthesis of other secondary metabolites
Flavone and flavonol biosynthesis,Biosynthesis of other secondary metabolites
Anthocyanin biosynthesis,Biosynthesis of other secondary metabolites
Isoflavonoid biosynthesis,Biosynthesis of other secondary metabolites
Degradation of flavonoids,Biosynthesis of other secondary metabolites
Indole alkaloid biosynthesis,Biosynthesis of other secondary metabolites
Indole diterpene alkaloid biosynthesis,Biosynthesis of other secondary metabolites
Isoquinoline alkaloid biosynthesis,Biosynthesis of other secondary metabolites
"Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of other secondary metabolites
Biosynthesis of various alkaloids,Biosynthesis of other secondary metabolites
Caffeine metabolism,Biosynthesis of other secondary metabolites
Betalain biosynthesis,Biosynthesis of other secondary metabolites
Glucosinolate biosynthesis,Biosynthesis of other secondary metabolites
Benzoxazinoid biosynthesis,Biosynthesis of other secondary metabolites
Penicillin and cephalosporin biosynthesis,Biosynthesis of other secondary metabolites
Carbapenem biosynthesis,Biosynthesis of other secondary metabolites
Monobactam biosynthesis,Biosynthesis of other secondary metabolites
Clavulanic acid biosynthesis,Biosynthesis of other secondary metabolites
Streptomycin biosynthesis,Biosynthesis of other secondary metabolites
"Neomycin, kanamycin and gentamicin biosynthesis",Biosynthesis of other secondary metabolites
Acarbose and validamycin biosynthesis,Biosynthesis of other secondary metabolites
Novobiocin biosynthesis,Biosynthesis of other secondary metabolites
Staurosporine biosynthesis,Biosynthesis of other secondary metabolites
Phenazine biosynthesis,Biosynthesis of other secondary metabolites
Prodigiosin biosynthesis,Biosynthesis of other secondary metabolites
Aflatoxin biosynthesis,Biosynthesis of other secondary metabolites
Biosynthesis of various antibiotics,Biosynthesis of other secondary metabolites
Biosynthesis of various plant secondary metabolites,Biosynthesis of other secondary metabolites
Biosynthesis of various other secondary metabolites,Biosynthesis of other secondary metabolites
Benzoate degradation,Xenobiotics biodegradation and metabolism
Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism
Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism
Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism
Toluene degradation,Xenobiotics biodegradation and metabolism
Xylene degradation,Xenobiotics biodegradation and metabolism
Nitrotoluene degradation,Xenobiotics biodegradation and metabolism
Ethylbenzene degradation,Xenobiotics biodegradation and metabolism
Styrene degradation,Xenobiotics biodegradation and metabolism
Atrazine degradation,Xenobiotics biodegradation and metabolism
Caprolactam degradation,Xenobiotics biodegradation and metabolism
Bisphenol degradation,Xenobiotics biodegradation and metabolism
Dioxin degradation,Xenobiotics biodegradation and metabolism
Naphthalene degradation,Xenobiotics biodegradation and metabolism
Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism
Furfural degradation,Xenobiotics biodegradation and metabolism
Steroid degradation,Xenobiotics biodegradation and metabolism
Metabolism of xenobiotics by cytochrome P45[PATH:ko00980],Xenobiotics biodegradation and metabolism
Drug metabolism - cytochrome P45[PATH:ko00982],Xenobiotics biodegradation and metabolism
Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism
RNA polymerase,Transcription
Basal transcription factors,Transcription
Spliceosome,Transcription
Ribosome,Translation
Aminoacyl-tRNA biosynthesis,Translation
Nucleocytoplasmic transport,Translation
mRNA surveillance pathway,Translation
Ribosome biogenesis in eukaryotes,Translation
Protein export,"Folding, sorting and degradation"
Protein processing in endoplasmic reticulum,"Folding, sorting and degradation"
SNARE interactions in vesicular transport,"Folding, sorting and degradation"
Ubiquitin mediated proteolysis,"Folding, sorting and degradation"
Sulfur relay system,"Folding, sorting and degradation"
Proteasome,"Folding, sorting and degradation"
RNA degradation,"Folding, sorting and degradation"
DNA replication,Replication and repair
Base excision repair,Replication and repair
Nucleotide excision repair,Replication and repair
Mismatch repair,Replication and repair
Homologous recombination,Replication and repair
Non-homologous end-joining,Replication and repair
Fanconi anemia pathway,Replication and repair
ATP-dependent chromatin remodeling,Chromosome
Polycomb repressive complex,Chromosome
Viral genome structure,Information processing in viruses
Viral replication,Information processing in viruses
Viral life cycle - HIV-1,Information processing in viruses
Virion - Human immunodeficiency virus,Information processing in viruses
Virion - Rotavirus,Information processing in viruses
Virion - Coronavirus,Information processing in viruses
Virion - Influenza virus,Information processing in viruses
Virion - Enterovirus,Information processing in viruses
Virion - Flavivirus and Alphavirus,Information processing in viruses
"Virion - Ebolavirus, Lyssavirus and Morbillivirus",Information processing in viruses
Virion - Lassa virus and SFTS virus,Information processing in viruses
Virion - Hepatitis viruses,Information processing in viruses
Virion - Herpesvirus,Information processing in viruses
Virion - Orthopoxvirus,Information processing in viruses
Virion - Adenovirus,Information processing in viruses
Virion - Bacteriophages T4 and T7,Information processing in viruses
Virion - Bacteriophage lambda,Information processing in viruses
ABC transporters,Membrane transport
Phosphotransferase system (PTS),Membrane transport
Bacterial secretion system,Membrane transport
Two-component system,Signal transduction
MAPK signaling pathway,Signal transduction
MAPK signaling pathway - fly,Signal transduction
MAPK signaling pathway - plant,Signal transduction
MAPK signaling pathway - yeast,Signal transduction
ErbB signaling pathway,Signal transduction
Ras signaling pathway,Signal transduction
Rap1 signaling pathway,Signal transduction
Wnt signaling pathway,Signal transduction
Notch signaling pathway,Signal transduction
Hedgehog signaling pathway,Signal transduction
Hedgehog signaling pathway - fly,Signal transduction
TGF-beta signaling pathway,Signal transduction
Hippo signaling pathway,Signal transduction
Hippo signaling pathway - fly,Signal transduction
Hippo signaling pathway - multiple species,Signal transduction
VEGF signaling pathway,Signal transduction
Apelin signaling pathway,Signal transduction
JAK-STAT signaling pathway,Signal transduction
NF-kappa B signaling pathway,Signal transduction
TNF signaling pathway,Signal transduction
HIF-1 signaling pathway,Signal transduction
FoxO signaling pathway,Signal transduction
Calcium signaling pathway,Signal transduction
Phosphatidylinositol signaling system,Signal transduction
Phospholipase D signaling pathway,Signal transduction
Sphingolipid signaling pathway,Signal transduction
cAMP signaling pathway,Signal transduction
cGMP-PKG signaling pathway,Signal transduction
PI3K-Akt signaling pathway,Signal transduction
AMPK signaling pathway,Signal transduction
mTOR signaling pathway,Signal transduction
Plant hormone signal transduction,Signal transduction
Neuroactive ligand-receptor interaction,Signaling molecules and interaction
Hormone signaling,Signaling molecules and interaction
Cytokine-cytokine receptor interaction,Signaling molecules and interaction
Viral protein interaction with cytokine and cytokine receptor,Signaling molecules and interaction
ECM-receptor interaction,Signaling molecules and interaction
Cell adhesion molecules,Signaling molecules and interaction
Endocytosis,Transport and catabolism
Phagosome,Transport and catabolism
Lysosome,Transport and catabolism
Peroxisome,Transport and catabolism
Autophagy - animal,Transport and catabolism
Autophagy - yeast,Transport and catabolism
Autophagy - other,Transport and catabolism
Mitophagy - animal,Transport and catabolism
Mitophagy - yeast,Transport and catabolism
Efferocytosis,Transport and catabolism
Cell cycle,Cell growth and death
Cell cycle - yeast,Cell growth and death
Cell cycle - Caulobacter,Cell growth and death
Meiosis - yeast,Cell growth and death
Oocyte meiosis,Cell growth and death
Apoptosis,Cell growth and death
Apoptosis - fly,Cell growth and death
Apoptosis - multiple species,Cell growth and death
Ferroptosis,Cell growth and death
Necroptosis,Cell growth and death
p53 signaling pathway,Cell growth and death
Cellular senescence,Cell growth and death
Focal adhesion,Cellular community - eukaryotes
Adherens junction,Cellular community - eukaryotes
Tight junction,Cellular community - eukaryotes
Gap junction,Cellular community - eukaryotes
Signaling pathways regulating pluripotency of stem cells,Cellular community - eukaryotes
Quorum sensing,Cellular community - prokaryotes
Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes
Biofilm formation - Pseudomonas aeruginosa,Cellular community - prokaryotes
Biofilm formation - Escherichia coli,Cellular community - prokaryotes
Bacterial chemotaxis,Cell motility
Flagellar assembly,Cell motility
Motor proteins,Cell motility
Cytoskeleton in muscle cells,Cell motility
Regulation of actin cytoskeleton,Cell motility
Hematopoietic cell lineage,Immune system
Complement and coagulation cascades,Immune system
Platelet activation,Immune system
Neutrophil extracellular trap formation,Immune system
Toll-like receptor signaling pathway,Immune system
Toll and Imd signaling pathway,Immune system
NOD-like receptor signaling pathway,Immune system
RIG-I-like receptor signaling pathway,Immune system
Cytosolic DNA-sensing pathway,Immune system
C-type lectin receptor signaling pathway,Immune system
Natural killer cell mediated cytotoxicity,Immune system
Antigen processing and presentation,Immune system
T cell receptor signaling pathway,Immune system
Th1 and Th2 cell differentiation,Immune system
Th17 cell differentiation,Immune system
IL-17 signaling pathway,Immune system
B cell receptor signaling pathway,Immune system
Fc epsilon RI signaling pathway,Immune system
Fc gamma R-mediated phagocytosis,Immune system
Leukocyte transendothelial migration,Immune system
Intestinal immune network for IgA production,Immune system
Chemokine signaling pathway,Immune system
Insulin secretion,Endocrine system
Insulin signaling pathway,Endocrine system
Glucagon signaling pathway,Endocrine system
Regulation of lipolysis in adipocytes,Endocrine system
Adipocytokine signaling pathway,Endocrine system
PPAR signaling pathway,Endocrine system
GnRH secretion,Endocrine system
GnRH signaling pathway,Endocrine system
Ovarian steroidogenesis,Endocrine system
Estrogen signaling pathway,Endocrine system
Progesterone-mediated oocyte maturation,Endocrine system
Prolactin signaling pathway,Endocrine system
Oxytocin signaling pathway,Endocrine system
Relaxin signaling pathway,Endocrine system
"Growth hormone synthesis, secretion and action",Endocrine system
Thyroid hormone synthesis,Endocrine system
Thyroid hormone signaling pathway,Endocrine system
"Parathyroid hormone synthesis, secretion and action",Endocrine system
Melanogenesis,Endocrine system
Renin secretion,Endocrine system
Renin-angiotensin system,Endocrine system
Aldosterone synthesis and secretion,Endocrine system
Cortisol synthesis and secretion,Endocrine system
Cardiac muscle contraction,Circulatory system
Adrenergic signaling in cardiomyocytes,Circulatory system
Vascular smooth muscle contraction,Circulatory system
Salivary secretion,Digestive system
Gastric acid secretion,Digestive system
Pancreatic secretion,Digestive system
Bile secretion,Digestive system
Carbohydrate digestion and absorption,Digestive system
Protein digestion and absorption,Digestive system
Fat digestion and absorption,Digestive system
Cholesterol metabolism,Digestive system
Vitamin digestion and absorption,Digestive system
Folate transport and metabolism,Digestive system
Cobalamin transport and metabolism,Digestive system
Mineral absorption,Digestive system
Vasopressin-regulated water reabsorption,Excretory system
Aldosterone-regulated sodium reabsorption,Excretory system
Endocrine and other factor-regulated calcium reabsorption,Excretory system
Proximal tubule bicarbonate reclamation,Excretory system
Collecting duct acid secretion,Excretory system
Glutamatergic synapse,Nervous system
GABAergic synapse,Nervous system
Cholinergic synapse,Nervous system
Dopaminergic synapse,Nervous system
Serotonergic synapse,Nervous system
Long-term potentiation,Nervous system
Long-term depression,Nervous system
Retrograde endocannabinoid signaling,Nervous system
Synaptic vesicle cycle,Nervous system
Neurotrophin signaling pathway,Nervous system
Phototransduction,Sensory system
Phototransduction - fly,Sensory system
Olfactory transduction,Sensory system
Taste transduction,Sensory system
Inflammatory mediator regulation of TRP channels,Sensory system
Dorso-ventral axis formation,Development and regeneration
Axon guidance,Development and regeneration
Axon regeneration,Development and regeneration
Osteoclast differentiation,Development and regeneration
Longevity regulating pathway,Aging
Longevity regulating pathway - worm,Aging
Longevity regulating pathway - multiple species,Aging
Circadian rhythm,Environmental adaptation
Circadian entrainment,Environmental adaptation
Circadian rhythm - fly,Environmental adaptation
Circadian rhythm - plant,Environmental adaptation
Thermogenesis,Environmental adaptation
Plant-pathogen interaction,Environmental adaptation
Pathways in cancer,Cancer: overview
Transcriptional misregulation in cancer,Cancer: overview
MicroRNAs in cancer,Cancer: overview
Proteoglycans in cancer,Cancer: overview
Chemical carcinogenesis - DNA adducts,Cancer: overview
Chemical carcinogenesis - receptor activation,Cancer: overview
Chemical carcinogenesis - reactive oxygen species,Cancer: overview
Viral carcinogenesis,Cancer: overview
Central carbon metabolism in cancer,Cancer: overview
Choline metabolism in cancer,Cancer: overview
PD-L1 expression and PD-1 checkpoint pathway in cancer,Cancer: overview
Colorectal cancer,Cancer: specific types
Pancreatic cancer,Cancer: specific types
Hepatocellular carcinoma,Cancer: specific types
Gastric cancer,Cancer: specific types
Glioma,Cancer: specific types
Thyroid cancer,Cancer: specific types
Acute myeloid leukemia,Cancer: specific types
Chronic myeloid leukemia,Cancer: specific types
Basal cell carcinoma,Cancer: specific types
Melanoma,Cancer: specific types
Renal cell carcinoma,Cancer: specific types
Bladder cancer,Cancer: specific types
Prostate cancer,Cancer: specific types
Endometrial cancer,Cancer: specific types
Breast cancer,Cancer: specific types
Small cell lung cancer,Cancer: specific types
Non-small cell lung cancer,Cancer: specific types
Human T-cell leukemia virus 1 infection,Infectious disease: viral
Human immunodeficiency virus 1 infection,Infectious disease: viral
Hepatitis B,Infectious disease: viral
Hepatitis C,Infectious disease: viral
Coronavirus disease - COVID-19,Infectious disease: viral
Influenza A,Infectious disease: viral
Measles,Infectious disease: viral
Herpes simplex virus 1 infection,Infectious disease: viral
Human cytomegalovirus infection,Infectious disease: viral
Kaposi sarcoma-associated herpesvirus infection,Infectious disease: viral
Epstein-Barr virus infection,Infectious disease: viral
Human papillomavirus infection,Infectious disease: viral
Vibrio cholerae infection,Infectious disease: bacterial
Epithelial cell signaling in Helicobacter pylori infection,Infectious disease: bacterial
Pathogenic Escherichia coli infection,Infectious disease: bacterial
Salmonella infection,Infectious disease: bacterial
Shigellosis,Infectious disease: bacterial
Yersinia infection,Infectious disease: bacterial
Pertussis,Infectious disease: bacterial
Legionellosis,Infectious disease: bacterial
Staphylococcus aureus infection,Infectious disease: bacterial
Tuberculosis,Infectious disease: bacterial
Bacterial invasion of epithelial cells,Infectious disease: bacterial
Amoebiasis,Infectious disease: parasitic
Malaria,Infectious disease: parasitic
Toxoplasmosis,Infectious disease: parasitic
Leishmaniasis,Infectious disease: parasitic
Chagas disease,Infectious disease: parasitic
African trypanosomiasis,Infectious disease: parasitic
Asthma,Immune disease
Systemic lupus erythematosus,Immune disease
Rheumatoid arthritis,Immune disease
Autoimmune thyroid disease,Immune disease
Inflammatory bowel disease,Immune disease
Allograft rejection,Immune disease
Graft-versus-host disease,Immune disease
Primary immunodeficiency,Immune disease
Alzheimer disease,Neurodegenerative disease
Parkinson disease,Neurodegenerative disease
Amyotrophic lateral sclerosis,Neurodegenerative disease
Huntington disease,Neurodegenerative disease
Spinocerebellar ataxia,Neurodegenerative disease
Prion disease,Neurodegenerative disease
Pathways of neurodegeneration - multiple diseases,Neurodegenerative disease
Cocaine addiction,Substance dependence
Amphetamine addiction,Substance dependence
Morphine addiction,Substance dependence
Nicotine addiction,Substance dependence
Alcoholism,Substance dependence
Lipid and atherosclerosis,Cardiovascular disease
Fluid shear stress and atherosclerosis,Cardiovascular disease
Hypertrophic cardiomyopathy,Cardiovascular disease
Arrhythmogenic right ventricular cardiomyopathy,Cardiovascular disease
Dilated cardiomyopathy,Cardiovascular disease
Diabetic cardiomyopathy,Cardiovascular disease
Viral myocarditis,Cardiovascular disease
Type II diabetes mellitus,Endocrine and metabolic disease
Type I diabetes mellitus,Endocrine and metabolic disease
Maturity onset diabetes of the young,Endocrine and metabolic disease
Alcoholic liver disease,Endocrine and metabolic disease
Non-alcoholic fatty liver disease,Endocrine and metabolic disease
Insulin resistance,Endocrine and metabolic disease
AGE-RAGE signaling pathway in diabetic complications,Endocrine and metabolic disease
Cushing syndrome,Endocrine and metabolic disease
beta-Lactam resistance,Drug resistance: antimicrobial
Vancomycin resistance,Drug resistance: antimicrobial
Cationic antimicrobial peptide (CAMP) resistance,Drug resistance: antimicrobial
EGFR tyrosine kinase inhibitor resistance,Drug resistance: antineoplastic
Platinum drug resistance,Drug resistance: antineoplastic
Antifolate resistance,Drug resistance: antineoplastic
Endocrine resistance,Drug resistance: antineoplastic
Enzymes,Protein families: metabolism
Protein kinases,Protein families: metabolism
Protein phosphatases and associated proteins,Protein families: metabolism
Peptidases and inhibitors,Protein families: metabolism
Glycosyltransferases,Protein families: metabolism
Lipopolysaccharide biosynthesis proteins,Protein families: metabolism
Peptidoglycan biosynthesis and degradation proteins,Protein families: metabolism
Lipid biosynthesis proteins,Protein families: metabolism
Polyketide biosynthesis proteins,Protein families: metabolism
Prenyltransferases,Protein families: metabolism
Amino acid related enzymes,Protein families: metabolism
Cytochrome P45[BR:ko00199],Protein families: metabolism
Photosynthesis proteins,Protein families: metabolism
Transcription factors,Protein families: genetic information processing
Transcription machinery,Protein families: genetic information processing
Messenger RNA biogenesis,Protein families: genetic information processing
Ribosome biogenesis,Protein families: genetic information processing
Transfer RNA biogenesis,Protein families: genetic information processing
Translation factors,Protein families: genetic information processing
Chaperones and folding catalysts,Protein families: genetic information processing
Membrane trafficking,Protein families: genetic information processing
Ubiquitin system,Protein families: genetic information processing
DNA replication proteins,Protein families: genetic information processing
Chromosome and associated proteins,Protein families: genetic information processing
DNA repair and recombination proteins,Protein families: genetic information processing
Mitochondrial biogenesis,Protein families: genetic information processing
Transporters,Protein families: signaling and cellular processes
Secretion system,Protein families: signaling and cellular processes
Bacterial toxins,Protein families: signaling and cellular processes
Bacterial motility proteins,Protein families: signaling and cellular processes
Cilium and associated proteins,Protein families: signaling and cellular processes
Cytoskeleton proteins,Protein families: signaling and cellular processes
Exosome,Protein families: signaling and cellular processes
Prokaryotic defense system,Protein families: signaling and cellular processes
G protein-coupled receptors,Protein families: signaling and cellular processes
Cytokine receptors,Protein families: signaling and cellular processes
Pattern recognition receptors,Protein families: signaling and cellular processes
Nuclear receptors,Protein families: signaling and cellular processes
Ion channels,Protein families: signaling and cellular processes
GTP-binding proteins,Protein families: signaling and cellular processes
Cytokines and neuropeptides,Protein families: signaling and cellular processes
CD molecules,Protein families: signaling and cellular processes
Antimicrobial resistance genes,Protein families: signaling and cellular processes
Proteoglycans,Protein families: signaling and cellular processes
Glycosaminoglycan binding proteins,Protein families: signaling and cellular processes
Glycosylphosphatidylinositol (GPI)-anchored proteins,Protein families: signaling and cellular processes
Lectins,Protein families: signaling and cellular processes
Domain-containing proteins not elsewhere classified,Protein families: signaling and cellular processes
Viral proteins,Viral protein families
Viral fusion proteins,Viral protein families
Non-coding RNAs,RNA family
Enzymes with EC numbers,Unclassified: metabolism
Carbohydrate metabolism,Unclassified: metabolism
Energy metabolism,Unclassified: metabolism
Lipid metabolism,Unclassified: metabolism
Nucleotide metabolism,Unclassified: metabolism
Amino acid metabolism,Unclassified: metabolism
Glycan metabolism,Unclassified: metabolism
Cofactor metabolism,Unclassified: metabolism
Secondary metabolism,Unclassified: metabolism
Transcription,Unclassified: genetic information processing
Translation,Unclassified: genetic information processing
Protein processing,Unclassified: genetic information processing
Replication and repair,Unclassified: genetic information processing
Transport,Unclassified: signaling and cellular processes
Cell growth,Unclassified: signaling and cellular processes
Cell motility,Unclassified: signaling and cellular processes
Signaling proteins,Unclassified: signaling and cellular processes
Structural proteins,Unclassified: signaling and cellular processes
General function prediction only,Poorly characterized
Function unknown,Poorly characterized
Others,Unclassified: metabolism or genetic information processing or signaling and cellular processes
