"KEGG_ko","Pathway_Name"
"K01488","Purine metabolism; Metabolic pathways; Nucleotide metabolism; Primary immunodeficiency"
"K04764","No pathway found"
"K01816","Glyoxylate and dicarboxylate metabolism; Metabolic pathways"
"K01681,K20455","Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Other carbon fixation pathways; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Propanoate metabolism"
"K02005,K13888","No pathway found"
"K05685","ABC transporters"
"K03797","No pathway found"
"K01690","Pentose phosphate pathway; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism"
"K13292","No pathway found"
"K08311","RNA degradation"
"K03782","Phenylalanine metabolism; Tryptophan metabolism; Phenylpropanoid biosynthesis; Drug metabolism - other enzymes; Metabolic pathways; Biosynthesis of secondary metabolites"
"K02182,K13776","Pinene, camphor and geraniol degradation; Microbial metabolism in diverse environments"
"K02909","Ribosome"
"K05516","No pathway found"
"K18997","No pathway found"
"K01782,K01825","Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Benzoate degradation; Tryptophan metabolism; beta-Alanine metabolism; Propanoate metabolism; Butanoate metabolism; Pinene, camphor and geraniol degradation; Caprolactam degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Fatty acid metabolism"
"K00632","Fatty acid degradation; Valine, leucine and isoleucine degradation; Benzoate degradation; alpha-Linolenic acid metabolism; Ethylbenzene degradation; Pinene, camphor and geraniol degradation; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Fatty acid metabolism"
"K07002","No pathway found"
"K04079","Protein processing in endoplasmic reticulum; PI3K-Akt signaling pathway; Necroptosis; Antigen processing and presentation; NOD-like receptor signaling pathway; Plant-pathogen interaction; IL-17 signaling pathway; Th17 cell differentiation; Progesterone-mediated oocyte maturation; Estrogen signaling pathway; Salmonella infection; Pathways in cancer; Chemical carcinogenesis - receptor activation; Prostate cancer; Lipid and atherosclerosis; Fluid shear stress and atherosclerosis"
"K06966","Purine metabolism; Pyrimidine metabolism; Metabolic pathways; Nucleotide metabolism"
"K00027,K00029","Pyruvate metabolism; Carbon metabolism; Two-component system; Carbon fixation by Calvin cycle; Metabolic pathways; Microbial metabolism in diverse environments; PPAR signaling pathway"
"K00799","Glutathione metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Drug metabolism - other enzymes; Metabolic pathways; Platinum drug resistance; Longevity regulating pathway - worm; Pathways in cancer; Chemical carcinogenesis - DNA adducts; Chemical carcinogenesis - receptor activation; Chemical carcinogenesis - reactive oxygen species; Hepatocellular carcinoma; Fluid shear stress and atherosclerosis"
"K01659","Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids"
"K00767","Nicotinate and nicotinamide metabolism; Metabolic pathways; Biosynthesis of cofactors"
"K03325","No pathway found"
"K03863","Aminobenzoate degradation; Microbial metabolism in diverse environments"
"K03673","Cationic antimicrobial peptide (CAMP) resistance"
"K00568","Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors"
"K14682","Arginine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids"
"K01792,K08305","Glycolysis / Gluconeogenesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments"
"K03981","No pathway found"
"K18302","No pathway found"
"K18138,K18303","beta-Lactam resistance; Cationic antimicrobial peptide (CAMP) resistance"
"K04042","Amino sugar and nucleotide sugar metabolism; Biosynthesis of various nucleotide sugars; Metabolic pathways; Biosynthesis of nucleotide sugars"
"K03701","Nucleotide excision repair"
