Protein accession,Locus tag,FC,Description,Name,evalue,score,COG_category,Preferred_name,KEGG_ko,PFAMs,Pathway_name,Strain 
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Amyotrophic lateral sclerosis,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Huntington disease,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Prion disease,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Pathways of neurodegeneration - multiple diseases,Ab ATCC 19606
QXV68067.1,HTZ92_0134,1.436437321,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,superoxide dismutase precursor (Cu-Zn),5.16E-135,382,P,sodC,K04565,Sod_Cu, Chemical carcinogenesis - reactive oxygen species,Ab ATCC 19606
QXV68101.1,HTZ92_0168,1.160691173,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,coproporphyrinogen III oxidase,1.53E-246,674,H,hemF,K00228,Coprogen_oxidas,Porphyrin metabolism,Ab ATCC 19606
QXV68101.1,HTZ92_0168,1.160691173,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,coproporphyrinogen III oxidase,1.53E-246,674,H,hemF,K00228,Coprogen_oxidas, Metabolic pathways,Ab ATCC 19606
QXV68101.1,HTZ92_0168,1.160691173,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,coproporphyrinogen III oxidase,1.53E-246,674,H,hemF,K00228,Coprogen_oxidas, Biosynthesis of secondary metabolites,Ab ATCC 19606
QXV68101.1,HTZ92_0168,1.160691173,Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX,coproporphyrinogen III oxidase,1.53E-246,674,H,hemF,K00228,Coprogen_oxidas, Biosynthesis of cofactors,Ab ATCC 19606
QXV68108.1,HTZ92_0175,2.334050393,MlaD protein,mammalian cell entry protein,5.18E-150,423,Q,ttg2C,K02067,MlaD,ABC transporters,Ab ATCC 19606
QXV68109.1,HTZ92_0176,3.123929089,MlaC protein,toluene tolerance protein Ttg2D,5.48E-150,422,Q,ttg2D,K07323,MlaC,ABC transporters,Ab ATCC 19606
QXV68110.1,HTZ92_0177,2.783174127,STAS domain,toluene tolerance protein,8.64E-63,192,S,-,K07122,STAS_2,ABC transporters,Ab ATCC 19606
QXV68156.1,HTZ92_0223,1.536801492,Flavin-binding monooxygenase-like,FAD-containing monooxygenase EthA,0,1002,P,almA,K03379,"FMO-like,NAD_binding_8,Pyr_redox_3",Caprolactam degradation,Ab ATCC 19606
QXV68156.1,HTZ92_0223,1.536801492,Flavin-binding monooxygenase-like,FAD-containing monooxygenase EthA,0,1002,P,almA,K03379,"FMO-like,NAD_binding_8,Pyr_redox_3", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68156.1,HTZ92_0223,1.536801492,Flavin-binding monooxygenase-like,FAD-containing monooxygenase EthA,0,1002,P,almA,K03379,"FMO-like,NAD_binding_8,Pyr_redox_3", Degradation of aromatic compounds,Ab ATCC 19606
QXV68199.1,HTZ92_0266,1.622463983,Carboxyl transferase domain,acetyl-CoA carboxylase carboxyltransferase subunit,0,1050,I,atuC,K13778,Carboxyl_trans,"Pinene, camphor and geraniol degradation",Ab ATCC 19606
QXV68199.1,HTZ92_0266,1.622463983,Carboxyl transferase domain,acetyl-CoA carboxylase carboxyltransferase subunit,0,1050,I,atuC,K13778,Carboxyl_trans, Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68271.1,HTZ92_0338,3.195316314,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain",kinase sensor component of a two component signal transduction system,0,1072,T,baeS,K07642,"HAMP,HATPase_c,HisKA",Two-component system,Ab ATCC 19606
QXV68272.1,HTZ92_0339,2.012861091,"Transcriptional regulatory protein, C terminal",DNA-binding response regulator,9.42E-163,455,K,baeR,"K07664,K18144","Response_reg,Trans_reg_C",Two-component system,Ab ATCC 19606
QXV68272.1,HTZ92_0339,2.012861091,"Transcriptional regulatory protein, C terminal",DNA-binding response regulator,9.42E-163,455,K,baeR,"K07664,K18144","Response_reg,Trans_reg_C", beta-Lactam resistance,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N",Fatty acid degradation,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N"," Valine, leucine and isoleucine degradation",Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Lysine degradation,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Benzoate degradation,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Tryptophan metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Pyruvate metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Glyoxylate and dicarboxylate metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Butanoate metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Other carbon fixation pathways,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Terpenoid backbone biosynthesis,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Metabolic pathways,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Biosynthesis of secondary metabolites,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Carbon metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Fatty acid metabolism,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Two-component system,Ab ATCC 19606
QXV68311.1,HTZ92_0378,1.013694559,Belongs to the thiolase family,acetyl-CoA acetyltransferase,4.11E-273,748,I,atoB,K00626,"Thiolase_C,Thiolase_N", Fat digestion and absorption,Ab ATCC 19606
QXV68351.1,HTZ92_0418,1.790570495,Flavodoxin,PepSY-associated TM region,0,1699,P,piuB,K00380,"Flavodoxin_1,NAD_binding_1,PepSY_TM",Sulfur metabolism,Ab ATCC 19606
QXV68351.1,HTZ92_0418,1.790570495,Flavodoxin,PepSY-associated TM region,0,1699,P,piuB,K00380,"Flavodoxin_1,NAD_binding_1,PepSY_TM", Metabolic pathways,Ab ATCC 19606
QXV68351.1,HTZ92_0418,1.790570495,Flavodoxin,PepSY-associated TM region,0,1699,P,piuB,K00380,"Flavodoxin_1,NAD_binding_1,PepSY_TM", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68351.1,HTZ92_0418,1.790570495,Flavodoxin,PepSY-associated TM region,0,1699,P,piuB,K00380,"Flavodoxin_1,NAD_binding_1,PepSY_TM", Sulfur cycle,Ab ATCC 19606
QXV68411.1,HTZ92_0478,1.413877665,Outer membrane efflux protein,RND family drug transporter,0,927,M,oprM,"K18139,K18323",OEP,beta-Lactam resistance,Ab ATCC 19606
QXV68411.1,HTZ92_0478,1.413877665,Outer membrane efflux protein,RND family drug transporter,0,927,M,oprM,"K18139,K18323",OEP, Quorum sensing,Ab ATCC 19606
QXV68411.1,HTZ92_0478,1.413877665,Outer membrane efflux protein,RND family drug transporter,0,927,M,oprM,"K18139,K18323",OEP, Two-component system,Ab ATCC 19606
QXV68412.1,HTZ92_0479,1.690877821,efflux pump,resistance nodulation cell division family member TbtB,0,1959,V,acrB,K18138,ACR_tran,beta-Lactam resistance,Ab ATCC 19606
QXV68412.1,HTZ92_0479,1.690877821,efflux pump,resistance nodulation cell division family member TbtB,0,1959,V,acrB,K18138,ACR_tran, Cationic antimicrobial peptide (CAMP) resistance,Ab ATCC 19606
QXV68413.1,HTZ92_0480,1.796657209,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,AdeA/AdeI family multidrug efflux RND transporter periplasmic adaptor subunit,1.98E-279,766,M,acrA,K03585,HlyD_D23,beta-Lactam resistance,Ab ATCC 19606
QXV68413.1,HTZ92_0480,1.796657209,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,AdeA/AdeI family multidrug efflux RND transporter periplasmic adaptor subunit,1.98E-279,766,M,acrA,K03585,HlyD_D23, Cationic antimicrobial peptide (CAMP) resistance,Ab ATCC 19606
QXV68414.1,HTZ92_0481,1.584841423,Acid phosphatase homologues,phosphatidylglycerophosphatase,2.73E-152,427,I,-,"K01096,K19302",PAP2,Glycerophospholipid metabolism,Ab ATCC 19606
QXV68414.1,HTZ92_0481,1.584841423,Acid phosphatase homologues,phosphatidylglycerophosphatase,2.73E-152,427,I,-,"K01096,K19302",PAP2, Metabolic pathways,Ab ATCC 19606
QXV68414.1,HTZ92_0481,1.584841423,Acid phosphatase homologues,phosphatidylglycerophosphatase,2.73E-152,427,I,-,"K01096,K19302",PAP2, Peptidoglycan biosynthesis,Ab ATCC 19606
QXV68414.1,HTZ92_0481,1.584841423,Acid phosphatase homologues,phosphatidylglycerophosphatase,2.73E-152,427,I,-,"K01096,K19302",PAP2, Teichoic acid biosynthesis,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",Citrate cycle (TCA cycle),Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Lysine degradation,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Tryptophan metabolism,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Lipoic acid metabolism,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Metabolic pathways,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Biosynthesis of secondary metabolites,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", Carbon metabolism,Ab ATCC 19606
QXV68442.1,HTZ92_0509,1.121911165,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),dihydrolipoamide succinyltransferase,2.58E-275,754,C,sucB,K00658,"2-oxoacid_dh,Biotin_lipoyl,E3_binding", 2-Oxocarboxylic acid metabolism,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA",Citrate cycle (TCA cycle),Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Propanoate metabolism,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", C5-Branched dibasic acid metabolism,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Other carbon fixation pathways,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Metabolic pathways,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Biosynthesis of secondary metabolites,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68445.1,HTZ92_0512,1.016573486,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",succinyl-CoA synthetase subunit alpha,2.08E-209,579,C,sucD,K01902,"CoA_binding,Ligase_CoA", Carbon metabolism,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1,RNA degradation,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1, Longevity regulating pathway - worm,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1, Type I diabetes mellitus,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1, Legionellosis,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1, Tuberculosis,Ab ATCC 19606
QXV68480.1,HTZ92_0547,1.198082681,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,molecular chaperone GroEL,0,1004,O,groL,K04077,Cpn60_TCP1, Lipid and atherosclerosis,Ab ATCC 19606
QXV68484.1,HTZ92_0551,3.139466971,AcrB/AcrD/AcrF family,AdeE,0,1934,U,acrB,K18138,ACR_tran,beta-Lactam resistance,Ab ATCC 19606
QXV68484.1,HTZ92_0551,3.139466971,AcrB/AcrD/AcrF family,AdeE,0,1934,U,acrB,K18138,ACR_tran, Cationic antimicrobial peptide (CAMP) resistance,Ab ATCC 19606
QXV68502.1,HTZ92_0569,1.337101504,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,"Anaerobic dehydrogenase, typically selenocysteine-containing",0,1642,C,ydeP,K00123,"Molybdopterin,Molydop_binding",Glyoxylate and dicarboxylate metabolism,Ab ATCC 19606
QXV68502.1,HTZ92_0569,1.337101504,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,"Anaerobic dehydrogenase, typically selenocysteine-containing",0,1642,C,ydeP,K00123,"Molybdopterin,Molydop_binding", Methane metabolism,Ab ATCC 19606
QXV68502.1,HTZ92_0569,1.337101504,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,"Anaerobic dehydrogenase, typically selenocysteine-containing",0,1642,C,ydeP,K00123,"Molybdopterin,Molydop_binding", Metabolic pathways,Ab ATCC 19606
QXV68502.1,HTZ92_0569,1.337101504,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,"Anaerobic dehydrogenase, typically selenocysteine-containing",0,1642,C,ydeP,K00123,"Molybdopterin,Molydop_binding", Microbial metabolism in diverse environments,Ab ATCC 19606
QXV68502.1,HTZ92_0569,1.337101504,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,"Anaerobic dehydrogenase, typically selenocysteine-containing",0,1642,C,ydeP,K00123,"Molybdopterin,Molydop_binding", Carbon metabolism,Ab ATCC 19606
QXV68533.1,HTZ92_0600,2.150157564,MacB-like periplasmic core domain,ABC transporter,3.04E-273,751,M,lolC,K09808,"FtsX,MacB_PCD",ABC transporters,Ab ATCC 19606
