Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU53255.1,"ATP synthase F1, alpha subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,"ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N",atpA,C,Oxidative phosphorylation,2.533464125,Ab 1428368,Energy metabolism,Defensive
EYU53256.1,"ATP synthase F1, gamma subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,ATP-synt,atpG,C,Oxidative phosphorylation,1.910301268,Ab 1428368,Energy metabolism,Defensive
EYU53257.1,"ATP synthase F1, beta subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,"ATP-synt_ab,ATP-synt_ab_N",atpD,C,Oxidative phosphorylation,2.22020116,Ab 1428368,Energy metabolism,Defensive
EYU52958.1,"cytochrome o ubiquinol oxidase, subunit III",Cytochrome c oxidase subunit III,COX3,cyoC,C,Oxidative phosphorylation,3.733977449,Ab 1428368,Energy metabolism,Defensive
EYU52959.1,"cytochrome o ubiquinol oxidase, subunit I",Belongs to the heme-copper respiratory oxidase family,COX1,cyoB,C,Oxidative phosphorylation,2.947769917,Ab 1428368,Energy metabolism,Defensive
EYU52960.1,"ubiquinol oxidase, subunit II",COX Aromatic Rich Motif,"COX2,COX_ARM",cyoA,C,Oxidative phosphorylation,2.447220937,Ab 1428368,Energy metabolism,Defensive
EYU52658.1,succinate dehydrogenase and fumarate reductase iron-sulfur family protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Oxidative phosphorylation,1.44315691,Ab 1428368,Energy metabolism,Defensive
EYU52659.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Oxidative phosphorylation,2.085384935,Ab 1428368,Energy metabolism,Defensive
EYU52299.1,cytochrome d ubiquinol oxidase subunit 1,"oxidase, subunit",Cyt_bd_oxida_I,cydA,C,Oxidative phosphorylation,3.194999192,Ab 1428368,Energy metabolism,Defensive
EYU52300.1,"cytochrome d ubiquinol oxidase, subunit II","oxidase, subunit",Cyt_bd_oxida_II,cydB,C,Oxidative phosphorylation,2.510449489,Ab 1428368,Energy metabolism,Defensive
EYU51985.1,"proton-translocating NADH-quinone oxidoreductase, chain N family protein","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Proton_antipo_M,nuoN,C,Oxidative phosphorylation,2.013057841,Ab 1428368,Energy metabolism,Defensive
EYU51986.1,NADH-quinone oxidoreductase subunit M,COG1008 NADH ubiquinone oxidoreductase subunit 4 (chain M),Proton_antipo_M,nuoM,C,Oxidative phosphorylation,2.878445587,Ab 1428368,Energy metabolism,Defensive
EYU51987.1,NADH-quinone oxidoreductase subunit L,"COG1009 NADH ubiquinone oxidoreductase subunit 5 (chain L) Multisubunit Na H antiporter, MnhA subunit","Proton_antipo_M,Proton_antipo_N",nuoL,CP,Oxidative phosphorylation,1.900510972,Ab 1428368,Energy metabolism,Defensive
EYU51991.1,NADH dehydrogenase family protein,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",NADHdh,nuoH,C,Oxidative phosphorylation,2.519340491,Ab 1428368,Energy metabolism,Defensive
EYU51992.1,"NADH dehydrogenase (quinone), G subunit",COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G),"Fer2_4,Molybdop_Fe4S4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3",nuoG,C,Oxidative phosphorylation,1.988995196,Ab 1428368,Energy metabolism,Defensive
EYU51993.1,"NADH oxidoreductase (quinone), F subunit","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain","Complex1_51K,NADH_4Fe-4S,SLBB",nuoF,C,Oxidative phosphorylation,2.698705989,Ab 1428368,Energy metabolism,Defensive
EYU51995.1,NADH-quinone oxidoreductase subunit C/D,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","Complex1_30kDa,Complex1_49kDa",nuoC,C,Oxidative phosphorylation,2.181690694,Ab 1428368,Energy metabolism,Defensive
EYU51996.1,NADH-quinone oxidoreductase subunit B,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q6,nuoB,C,Oxidative phosphorylation,2.427704763,Ab 1428368,Energy metabolism,Defensive
UZK40123.1,ABC transporter substrate-binding protein,MlaC protein,MlaC,ttg2D,Q,ABC transporters,1.471693292,Ab ATCC 17978,Membrane transport,Defensive
UZK37060.1,STAS domain-containing protein,STAS domain,STAS_2,-,S,ABC transporters,1.511454067,Ab ATCC 17978,Membrane transport,Defensive
UZK40144.1,lipoprotein-releasing ABC transporter permease subunit,MacB-like periplasmic core domain,"FtsX,MacB_PCD",lolC,M,ABC transporters,1.222046716,Ab ATCC 17978,Membrane transport,Defensive
UZK37514.1,lipoprotein-releasing ABC transporter ATP-binding protein LolD,"Part of the ABC transporter complex LolCDE involved in the translocation of lipoproteins, in an ATP-dependent manner",ABC_tran,lolD,V,ABC transporters,1.176114715,Ab ATCC 17978,Membrane transport,Defensive
UZK37665.1,phosphonate ABC transporter substrate-binding protein,PBP superfamily domain,PBP_like_2,pstS,P,ABC transporters,1.653527845,Ab ATCC 17978,Membrane transport,Defensive
UZK37666.1,phosphate ABC transporter permease subunit PstC,probably responsible for the translocation of the substrate across the membrane,"BPD_transp_1,DUF3708",pstC,P,ABC transporters,1.751263869,Ab ATCC 17978,Membrane transport,Defensive
UZK37667.1,phosphate ABC transporter permease PstA,Phosphate transport system permease,"BPD_transp_1,DUF3333",pstA,P,ABC transporters,1.74734503,Ab ATCC 17978,Membrane transport,Defensive
UZK37668.1,phosphate ABC transporter ATP-binding protein,Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system,ABC_tran,pstB,P,ABC transporters,1.053796414,Ab ATCC 17978,Membrane transport,Defensive
UZK37793.1,histidine ABC transporter permease HisQ,"COG4215 ABC-type arginine transport system, permease component",BPD_transp_1,hisQ,P,ABC transporters,1.089034182,Ab ATCC 17978,Membrane transport,Defensive
UZK38645.1,lipid A export permease/ATP-binding protein MsbA,Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation,"ABC_membrane,ABC_tran",msbA,V,ABC transporters,1.041809328,Ab ATCC 17978,Membrane transport,Defensive
UZK38843.1,putative 2-aminoethylphosphonate ABC transporter substrate-binding protein,Bacterial extracellular solute-binding protein,SBP_bac_6,HA62_21480,P,ABC transporters,1.291158657,Ab ATCC 17978,Membrane transport,Defensive
UZK39601.1,MacB family efflux pump subunit,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides","ABC_tran,FtsX,MacB_PCD",macB,V,ABC transporters,2.557674668,Ab ATCC 17978,Membrane transport,Defensive
EYU53665.1,hypothetical protein,Permease MlaE,MlaE,mlaE,Q,ABC transporters,2.426840845,Ab 1428368,Membrane transport,Defensive
EYU53666.1,mce related family protein,MlaD protein,MlaD,ttg2C,Q,ABC transporters,1.619883952,Ab 1428368,Membrane transport,Defensive
EYU52667.1,ABC transporter family protein,Part of the ABC transporter complex TauABC involved in taurine import. Responsible for energy coupling to the transport system,ABC_tran,tauB,P,ABC transporters,2.03975662,Ab 1428368,Membrane transport,Defensive
EYU52668.1,"taurine ABC transporter, periplasmic binding protein",Substrate binding domain of ABC-type glycine betaine transport system,"NMT1,OpuAC",tauA,P,ABC transporters,2.904279352,Ab 1428368,Membrane transport,Defensive
EYU49601.1,ABC transporter family protein,Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system,"ABC_tran,NIL",metN,P,ABC transporters,1.914936898,Ab 1428368,Membrane transport,Defensive
UZK37927.1,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA","Exports the biofilm adhesin polysaccharide poly-beta- 1,6-N-acetyl-D-glucosamine (PGA) across the outer membrane. The PGA transported seems to be partially N-deacetylated since N- deacetylation of PGA by PgaB is needed for PGA export through the PgaA porin","TPR_16,TPR_19",pgaA,S,Biofilm formation - Escherichia coli,1.31318603,Ab ATCC 17978,Cellular community - prokaryotes,Defensive
UZK37928.1,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB",Hypothetical glycosyl hydrolase family 13,"GHL13,Polysacc_deac_1",pgaB,G,Biofilm formation - Escherichia coli,1.661419984,Ab ATCC 17978,Cellular community - prokaryotes,Defensive
UZK37929.1,"poly-beta-1,6 N-acetyl-D-glucosamine synthase",Glycosyl transferase family 21,Glyco_tranf_2_3,pgaC,M,Biofilm formation - Escherichia coli,1.758109743,Ab ATCC 17978,Cellular community - prokaryotes,Defensive
UZK37930.1,"poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD",PgaD-like protein,PgaD,PgaD,S,Biofilm formation - Escherichia coli,1.723492259,Ab ATCC 17978,Cellular community - prokaryotes,Defensive
EYU54815.1,HAMP domain protein,Histidine kinase,"HAMP,HATPase_c,HisKA",envZ,T,Biofilm formation - Escherichia coli,1.877748821,Ab 1428368,Cellular community - prokaryotes,Defensive
EYU54816.1,transcriptional regulatory protein ompR,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",ompR,K,Biofilm formation - Escherichia coli,2.061326502,Ab 1428368,Cellular community - prokaryotes,Defensive
EYU48422.1,hypothetical protein,"Type VI secretion protein, EvpB/VC_A0108, tail sheath",VipB,evpB,S,Biofilm formation - Pseudomonas aeruginosa,2.61939041,Ab 1428368,Cellular community - prokaryotes,Defensive
EYU48423.1,hypothetical protein,"Type VI secretion system, VipA, VC_A0107 or Hcp2",T6SS_VipA,evpA,S,Biofilm formation - Pseudomonas aeruginosa,2.550297802,Ab 1428368,Cellular community - prokaryotes,Defensive
UZK38375.1,multidrug efflux RND transporter periplasmic adaptor subunit AdeA,Barrel-sandwich domain of CusB or HlyD membrane-fusion,HlyD_D23, AdeA,M,beta-Lactam resistance,2.5620414,Ab ATCC 17978,Drug resistance: antimicrobial,Defensive
UZK38376.1,multidrug efflux RND transporter permease subunit AdeB,MMPL family,ACR_tran,AdeB,V,beta-Lactam resistance,2.251235264,Ab ATCC 17978,Drug resistance: antimicrobial,Defensive
UZK38865.1,phenylacetate-CoA oxygenase subunit PaaJ,Iron-sulfur cluster assembly protein,FeS_assembly_P,paaJ,S,Phenylalanine metabolism,-1.087209375,Ab ATCC 17978,Amino acid metabolism,Evasive
UZK38866.1,phenylacetate-CoA oxygenase subunit PaaI,Phenylacetic acid catabolic protein,PaaA_PaaC,paaI,S,Phenylalanine metabolism,-1.148717107,Ab ATCC 17978,Amino acid metabolism,Evasive
UZK38867.1,"1,2-phenylacetyl-CoA epoxidase subunit B",Phenylacetic acid degradation B,PaaB,paaB,Q,Phenylalanine metabolism,-1.284953476,Ab ATCC 17978,Amino acid metabolism,Evasive
UZK38869.1,phenylacetic acid degradation bifunctional protein PaaZ,MaoC like domain,"Aldedh,MaoC_dehydratas",paaN,CI,Phenylalanine metabolism,-1.181838182,Ab ATCC 17978,Amino acid metabolism,Evasive
UZK37579.1,sulfate ABC transporter ATP-binding protein,Part of the ABC transporter complex CysAWTP involved in sulfate thiosulfate import. Responsible for energy coupling to the transport system,"ABC_tran,TOBE_3",cysA,P,ABC transporters,-1.053494355,Ab ATCC 17978,Membrane transport,Evasive
UZK37580.1,sulfate ABC transporter permease subunit CysW,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysW,P,ABC transporters,-1.038410835,Ab ATCC 17978,Membrane transport,Evasive
UZK37581.1,sulfate ABC transporter permease subunit CysT,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysT,O,ABC transporters,-1.197760365,Ab ATCC 17978,Membrane transport,Evasive
UZK37583.1,sulfate ABC transporter substrate-binding protein,sulfate ABC transporter,SBP_bac_11,sbp,P,ABC transporters,-1.269520702,Ab ATCC 17978,Membrane transport,Evasive
UZK38760.1,taurine ABC transporter permease TauC,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,tauC,P,ABC transporters,-1.214988676,Ab ATCC 17978,Membrane transport,Evasive
UZK38761.1,ATP-binding cassette domain-containing protein,Part of the ABC transporter complex TauABC involved in taurine import. Responsible for energy coupling to the transport system,ABC_tran,tauB,P,ABC transporters,-1.196536153,Ab ATCC 17978,Membrane transport,Evasive
UZK38762.1,taurine ABC transporter substrate-binding protein,Substrate binding domain of ABC-type glycine betaine transport system,"NMT1,OpuAC",tauA,P,ABC transporters,-1.330847249,Ab ATCC 17978,Membrane transport,Evasive
UZK40062.1,sulfonate ABC transporter substrate-binding protein,"ABC transporter, phosphonate, periplasmic substrate-binding protein","NMT1,NMT1_2,SBP_bac_3",ssuA,P,ABC transporters,-1.161136685,Ab ATCC 17978,Membrane transport,Evasive
UZK40064.1,aliphatic sulfonate ABC transporter permease SsuC,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,ssuC,P,ABC transporters,-1.122316062,Ab ATCC 17978,Membrane transport,Evasive
