Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU53727.1,ribosomal protein L6,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center",Ribosomal_L6,rplF,J,Ribosome,2.420282736,Ab 1428368,Translation,Defensive
EYU53287.1,ribosomal L10 family protein,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",Ribosomal_L10,rplJ,J,Ribosome,1.929830188,Ab 1428368,Translation,Defensive
EYU51742.1,ribosomal protein L21,This protein binds to 23S rRNA in the presence of protein L20,Ribosomal_L21p,rplU,J,Ribosome,1.942001992,Ab 1428368,Translation,Defensive
EYU51309.1,ribosomal protein S1,thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence,S1,rpsA,J,Ribosome,1.386860504,Ab 1428368,Translation,Defensive
EYU52654.1,dihydrolipoyl dehydrogenase,"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes","Pyr_redox_2,Pyr_redox_dim",lpdG,C,Citrate cycle (TCA cycle),1.908704191,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53797.1,"isocitrate dehydrogenase, NADP-dependent",Isocitrate dehydrogenase,IDH,icd,C,Citrate cycle (TCA cycle),1.104424551,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52655.1,dihydrolipoyllysine-residue succinyltransferase,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),"2-oxoacid_dh,Biotin_lipoyl,E3_binding",sucB,C,Citrate cycle (TCA cycle),1.595070617,Ab 1428368,Carbohydrate metabolism,Defensive
EYU47787.1,"succinate-CoA ligase, alpha subunit","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","CoA_binding,Ligase_CoA",sucD,C,Citrate cycle (TCA cycle),1.309026817,Ab 1457504,Carbohydrate metabolism,Defensive
EYU49047.1,putative coenzyme A transferase,acetyl-CoA hydrolase,"AcetylCoA_hyd_C,AcetylCoA_hydro",scpC,C,Citrate cycle (TCA cycle),1.90701272,Ab 1457504,Carbohydrate metabolism,Defensive
EYU50880.1,"cytochrome o ubiquinol oxidase, subunit I",Belongs to the heme-copper respiratory oxidase family,COX1,cyoB,C,Oxidative phosphorylation,1.632789843,Ab 1457504,Energy metabolism,Defensive
EYU47521.1,cytochrome d ubiquinol oxidase subunit 1,"oxidase, subunit",Cyt_bd_oxida_I,cydA,C,Oxidative phosphorylation,1.807137997,Ab 1457504,Energy metabolism,Defensive
EYU53252.1,"ATP synthase F0, C subunit","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",ATP-synt_C,atpE,C,Oxidative phosphorylation,1.363619871,Ab 1428368,Energy metabolism,Defensive
EYU53253.1,"ATP synthase F0, B subunit","Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",ATP-synt_B,atpF,C,Oxidative phosphorylation,1.890214992,Ab 1428368,Energy metabolism,Defensive
EYU53255.1,"ATP synthase F1, alpha subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,"ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N",atpA,C,Oxidative phosphorylation,1.182332287,Ab 1428368,Energy metabolism,Defensive
EYU47960.1,histidine kinase family protein,Histidine kinase,His_kinase,algZ,T,Two-component system,-1.110201841,Ab 1457504,Signal transduction,Evasive
EYU47761.1,diguanylate cyclase domain protein,Periplasmic sensor domain,"CHASE,CHASE8,GGDEF,PAS_4",yfiN,T,Biofilm formation - Pseudomonas aeruginosa,-1.005115189,Ab 1457504,Cellular community - prokaryotes,Evasive
EYU47253.1,autoinducer synthetase family protein,Involved in the synthesis of the acyl-homoserine lactone (AHL) signal N-(3-hydroxydodecanoyl)-L-HSL (3-hydroxy-C(12)-HSL or OH-dDHL),Autoind_synth,vanI,H,Quorum sensing,-2.228564985,Ab 1457504,Cellular community - prokaryotes,Evasive
EYU52964.1,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA","Exports the biofilm adhesin polysaccharide poly-beta- 1,6-N-acetyl-D-glucosamine (PGA) across the outer membrane. The PGA transported seems to be partially N-deacetylated since N- deacetylation of PGA by PgaB is needed for PGA export through the PgaA porin","TPR_16,TPR_19",pgaA,S,Biofilm formation - Escherichia coli,J696_01916,Ab 1428368,Cellular community - prokaryotes,Evasive
,,,,,,,,,,
