Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
EYU52962.1,phosphoenolpyruvate synthase,Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate,"PEP-utilizers,PEP-utilizers_C,PPDK_N",ppsA,G,Glycolysis / Gluconeogenesis,2.83216702,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52621.1,phosphoenolpyruvate carboxykinase family protein,"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle","PEPCK_C,PEPCK_N",pckG,H,Glycolysis / Gluconeogenesis,2.170236774,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54716.1,dihydrolipoyllysine-residue acetyltransferase,acetyltransferase component of pyruvate dehydrogenase complex,"2-oxoacid_dh,Biotin_lipoyl,E3_binding",aceF,C,Citrate cycle (TCA cycle),2.624077521,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52654.1,dihydrolipoyl dehydrogenase,"COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes","Pyr_redox_2,Pyr_redox_dim",lpdG,C,Citrate cycle (TCA cycle),3.378708978,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52999.1,aconitate hydratase 2,Belongs to the aconitase IPM isomerase family,"Aconitase,Aconitase_2_N,Aconitase_B_N",acnB,C,Citrate cycle (TCA cycle),2.938569559,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53797.1,"isocitrate dehydrogenase, NADP-dependent",Isocitrate dehydrogenase,IDH,icd,C,Citrate cycle (TCA cycle),3.209938093,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52656.1,"oxoglutarate dehydrogenase (succinyl-transferring), E1 component","COG0567 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes","2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr",sucA,C,Citrate cycle (TCA cycle),3.029002437,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52655.1,dihydrolipoyllysine-residue succinyltransferase,The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2),"2-oxoacid_dh,Biotin_lipoyl,E3_binding",sucB,C,Citrate cycle (TCA cycle),3.264301112,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52653.1,succinyl-CoA ligase [ADP-forming] subunit beta,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","ATP-grasp_2,Ligase_CoA",sucC,F,Citrate cycle (TCA cycle),3.651965148,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52652.1,"succinate-CoA ligase, alpha subunit","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit","CoA_binding,Ligase_CoA",sucD,C,Citrate cycle (TCA cycle),3.198703259,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52659.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Citrate cycle (TCA cycle),2.47458851,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52658.1,succinate dehydrogenase and fumarate reductase iron-sulfur family protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Citrate cycle (TCA cycle),1.791567953,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54476.1,"hydrolyase, tartrate alpha subunit/fumarate, Fe-S type domain protein",Catalyzes the reversible hydration of fumarate to (S)- malate,"Fumerase,Fumerase_C",fumA,C,Citrate cycle (TCA cycle),2.297428112,Ab 1428368,Carbohydrate metabolism,Defensive
EYU50262.1,malate dehydrogenase,Catalyzes the reversible oxidation of malate to oxaloacetate,"Ldh_1_C,Ldh_1_N",mdh,C,Citrate cycle (TCA cycle),2.79375824,Ab 1428368,Carbohydrate metabolism,Defensive
EYU52621.1,phosphoenolpyruvate carboxykinase family protein,"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle","PEPCK_C,PEPCK_N",pckG,H,Citrate cycle (TCA cycle),2.170236774,Ab 1428368,Carbohydrate metabolism,Defensive
EYU54814.1,putative coenzyme A transferase,acetyl-CoA hydrolase,"AcetylCoA_hyd_C,AcetylCoA_hydro",scpC,C,Citrate cycle (TCA cycle),2.04364856,Ab 1428368,Carbohydrate metabolism,Defensive
EYU53251.1,"ATP synthase F0, A subunit",it plays a direct role in the translocation of protons across the membrane,ATP-synt_A,atpB,C,Oxidative phosphorylation,3.049696906,Ab 1428368,Energy metabolism,Defensive
EYU53252.1,"ATP synthase F0, C subunit","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",ATP-synt_C,atpE,C,Oxidative phosphorylation,2.238275622,Ab 1428368,Energy metabolism,Defensive
EYU53253.1,"ATP synthase F0, B subunit","Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",ATP-synt_B,atpF,C,Oxidative phosphorylation,3.924295447,Ab 1428368,Energy metabolism,Defensive
EYU53254.1,"ATP synthase F1, delta subunit","F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",OSCP,atpH,C,Oxidative phosphorylation,3.181656319,Ab 1428368,Energy metabolism,Defensive
EYU53255.1,"ATP synthase F1, alpha subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,"ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N",atpA,C,Oxidative phosphorylation,2.694771287,Ab 1428368,Energy metabolism,Defensive
EYU53256.1,"ATP synthase F1, gamma subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,ATP-synt,atpG,C,Oxidative phosphorylation,1.936180543,Ab 1428368,Energy metabolism,Defensive
EYU53257.1,"ATP synthase F1, beta subunit",Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,"ATP-synt_ab,ATP-synt_ab_N",atpD,C,Oxidative phosphorylation,2.365231439,Ab 1428368,Energy metabolism,Defensive
EYU52956.1,protoheme IX farnesyltransferase,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,UbiA,cyoE,O,Oxidative phosphorylation,2.781594967,Ab 1428368,Energy metabolism,Defensive
EYU52958.1,"cytochrome o ubiquinol oxidase, subunit III",Cytochrome c oxidase subunit III,COX3,cyoC,C,Oxidative phosphorylation,3.722604679,Ab 1428368,Energy metabolism,Defensive
EYU52959.1,"cytochrome o ubiquinol oxidase, subunit I",Belongs to the heme-copper respiratory oxidase family,COX1,cyoB,C,Oxidative phosphorylation,3.250494758,Ab 1428368,Energy metabolism,Defensive
EYU52960.1,"ubiquinol oxidase, subunit II",COX Aromatic Rich Motif,"COX2,COX_ARM",cyoA,C,Oxidative phosphorylation,2.796210182,Ab 1428368,Energy metabolism,Defensive
EYU52658.1,succinate dehydrogenase and fumarate reductase iron-sulfur family protein,succinate dehydrogenase,"Fer2_3,Fer4_17,Fer4_8",sdhB,C,Oxidative phosphorylation,1.791567953,Ab 1428368,Energy metabolism,Defensive
EYU52659.1,"succinate dehydrogenase, flavoprotein subunit",Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,"FAD_binding_2,Succ_DH_flav_C",sdhA,C,Oxidative phosphorylation,2.47458851,Ab 1428368,Energy metabolism,Defensive
EYU52299.1,cytochrome d ubiquinol oxidase subunit 1,"oxidase, subunit",Cyt_bd_oxida_I,cydA,C,Oxidative phosphorylation,2.439664822,Ab 1428368,Energy metabolism,Defensive
EYU52300.1,"cytochrome d ubiquinol oxidase, subunit II","oxidase, subunit",Cyt_bd_oxida_II,cydB,C,Oxidative phosphorylation,1.764802901,Ab 1428368,Energy metabolism,Defensive
EYU51985.1,"proton-translocating NADH-quinone oxidoreductase, chain N family protein","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Proton_antipo_M,nuoN,C,Oxidative phosphorylation,2.525289196,Ab 1428368,Energy metabolism,Defensive
EYU51986.1,NADH-quinone oxidoreductase subunit M,COG1008 NADH ubiquinone oxidoreductase subunit 4 (chain M),Proton_antipo_M,nuoM,C,Oxidative phosphorylation,3.134137825,Ab 1428368,Energy metabolism,Defensive
EYU51987.1,NADH-quinone oxidoreductase subunit L,"COG1009 NADH ubiquinone oxidoreductase subunit 5 (chain L) Multisubunit Na H antiporter, MnhA subunit","Proton_antipo_M,Proton_antipo_N",nuoL,CP,Oxidative phosphorylation,2.272701967,Ab 1428368,Energy metabolism,Defensive
EYU51991.1,NADH dehydrogenase family protein,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",NADHdh,nuoH,C,Oxidative phosphorylation,2.609650487,Ab 1428368,Energy metabolism,Defensive
EYU51992.1,"NADH dehydrogenase (quinone), G subunit",COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G),"Fer2_4,Molybdop_Fe4S4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3",nuoG,C,Oxidative phosphorylation,2.360973562,Ab 1428368,Energy metabolism,Defensive
EYU51993.1,"NADH oxidoreductase (quinone), F subunit","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain","Complex1_51K,NADH_4Fe-4S,SLBB",nuoF,C,Oxidative phosphorylation,2.697992541,Ab 1428368,Energy metabolism,Defensive
EYU51994.1,NADH-quinone oxidoreductase subunit E,Thioredoxin-like [2Fe-2S] ferredoxin,2Fe-2S_thioredx,nuoE,C,Oxidative phosphorylation,1.784967532,Ab 1428368,Energy metabolism,Defensive
EYU51995.1,NADH-quinone oxidoreductase subunit C/D,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","Complex1_30kDa,Complex1_49kDa",nuoC,C,Oxidative phosphorylation,2.575005894,Ab 1428368,Energy metabolism,Defensive
EYU51996.1,NADH-quinone oxidoreductase subunit B,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q6,nuoB,C,Oxidative phosphorylation,2.848077413,Ab 1428368,Energy metabolism,Defensive
EYU51997.1,"NADH-ubiquinone/plastoquinone oxidoreductase, chain 3 family protein","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q4,nuoA,C,Oxidative phosphorylation,2.760471285,Ab 1428368,Energy metabolism,Defensive
EYU54215.1,acetylglutamate kinase,Belongs to the acetylglutamate kinase family. ArgB subfamily,"AA_kinase,NAT",argB,E,Arginine biosynthesis,1.819806879,Ab 1428368,Amino acid metabolism,Defensive
EYU54030.1,argininosuccinate synthase,Belongs to the argininosuccinate synthase family. Type,Arginosuc_synth,argG,E,Arginine biosynthesis,2.179032137,Ab 1428368,Amino acid metabolism,Defensive
EYU52939.1,argininosuccinate lyase,argininosuccinate lyase,"ASL_C2,Lyase_1",argH,E,Arginine biosynthesis,1.348592282,Ab 1428368,Amino acid metabolism,Defensive
EYU54468.1,glutamate-5-semialdehyde dehydrogenase,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,Aldedh,proA,E,Arginine and proline metabolism,2.156561549,Ab 1428368,Amino acid metabolism,Defensive
EYU51474.1,delta-1-pyrroline-5-carboxylate dehydrogenase,Oxidizes proline to glutamate for use as a carbon and nitrogen source,"Aldedh,Pro_dh,Pro_dh-DNA_bdg",putA,CE,Arginine and proline metabolism,2.281677612,Ab 1428368,Amino acid metabolism,Defensive
EYU53632.1,glutamate/Leucine/Phenylalanine/Valine dehydrogenase family protein,Belongs to the Glu Leu Phe Val dehydrogenases family,"ELFV_dehydrog,ELFV_dehydrog_N",gdhA,E,"Alanine, aspartate and glutamate metabolism",3.285512054,Ab 1428368,Amino acid metabolism,Defensive
EYU53605.1,"glutamine synthetase, type I",glutamine synthetase,"Gln-synt_C,Gln-synt_N",glnA,E,"Alanine, aspartate and glutamate metabolism",3.048318961,Ab 1428368,Amino acid metabolism,Defensive
EYU53310.1,acetyl-CoA C-acyltransferase FadA,Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed,"Thiolase_C,Thiolase_N",fadA,I,Fatty acid degradation,2.355512647,Ab 1428368,Lipid metabolism,Defensive
EYU53311.1,"fatty oxidation complex, alpha subunit FadB",Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate,"3HCDH,3HCDH_N,ECH_1",fadB,I,Fatty acid degradation,2.151370767,Ab 1428368,Lipid metabolism,Defensive
EYU54351.1,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit","Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA",ACCA,accA,I,Fatty acid biosynthesis,3.338266799,Ab 1428368,Lipid metabolism,Defensive
EYU54425.1,enoyl-[acyl-carrier-protein] reductase [NADH] FabI,Enoyl- acyl-carrier-protein reductase NADH,adh_short_C2,fabI,I,Fatty acid biosynthesis,1.638297369,Ab 1428368,Lipid metabolism,Defensive
EYU54151.1,malonyl CoA-acyl carrier protein transacylase,malonyl CoA-acyl carrier protein transacylase,Acyl_transf_1,fabD,I,Fatty acid biosynthesis,2.204507182,Ab 1428368,Lipid metabolism,Defensive
EYU54152.1,3-oxoacyl-[acyl-carrier-protein] reductase,KR domain,adh_short_C2,fabG,IQ,Fatty acid biosynthesis,3.285512598,Ab 1428368,Lipid metabolism,Defensive
EYU54189.1,"beta-ketoacyl synthase, C-terminal domain protein",Belongs to the beta-ketoacyl-ACP synthases family,"Ketoacyl-synt_C,ketoacyl-synt",fabB,IQ,Fatty acid biosynthesis,2.330143088,Ab 1428368,Lipid metabolism,Defensive
EYU53123.1,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit",Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,Carboxyl_trans,accD,I,Fatty acid biosynthesis,2.604807873,Ab 1428368,Lipid metabolism,Defensive
EYU52349.1,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs,FabA,fabZ,I,Fatty acid biosynthesis,2.736912273,Ab 1428368,Lipid metabolism,Defensive
EYU51526.1,"acetyl-CoA carboxylase, biotin carboxyl carrier protein","first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",Biotin_lipoyl,accB,I,Fatty acid biosynthesis,3.426753657,Ab 1428368,Lipid metabolism,Defensive
EYU51527.1,"acetyl-CoA carboxylase, biotin carboxylase subunit",Biotin carboxylase,"Biotin_carb_C,Biotin_carb_N,CPSase_L_D2",accC,I,Fatty acid biosynthesis,2.970933151,Ab 1428368,Lipid metabolism,Defensive
EYU54881.1,ribosomal protein S16,Belongs to the bacterial ribosomal protein bS16 family,Ribosomal_S16,rpsP,J,Ribosome,3.34829553,Ab 1428368,Translation,Defensive
EYU54358.1,"phenylalanine--tRNA ligase, alpha subunit",Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily,"Phe_tRNA-synt_N,tRNA-synt_2d",pheS,J,Aminoacyl-tRNA biosynthesis,2.041128592,Ab 1428368,Translation,Defensive
EYU54362.1,ribosomal protein L20,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,Ribosomal_L20,rplT,J,Ribosome,2.603585167,Ab 1428368,Translation,Defensive
EYU54363.1,ribosomal protein L35,Belongs to the bacterial ribosomal protein bL35 family,Ribosomal_L35p,rpmI,J,Ribosome,2.215748611,Ab 1428368,Translation,Defensive
EYU54368.1,threonine--tRNA ligase,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),"HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD",thrS,J,Aminoacyl-tRNA biosynthesis,1.830836214,Ab 1428368,Translation,Defensive
EYU54419.1,leucine--tRNA ligase,Belongs to the class-I aminoacyl-tRNA synthetase family,"Anticodon_1,tRNA-synt_1,tRNA-synt_1_2",leuS,J,Aminoacyl-tRNA biosynthesis,1.408645814,Ab 1428368,Translation,Defensive
EYU54455.1,histidine--tRNA ligase,histidyl-tRNA synthetase,"HGTP_anticodon,tRNA-synt_His",hisS,J,Aminoacyl-tRNA biosynthesis,2.639320045,Ab 1428368,Translation,Defensive
EYU54509.1,ribosomal protein L28,Belongs to the bacterial ribosomal protein bL28 family,Ribosomal_L28,rpmB,J,Ribosome,1.769260129,Ab 1428368,Translation,Defensive
EYU54150.1,ribosomal protein L32,Belongs to the bacterial ribosomal protein bL32 family,Ribosomal_L32p,rpmF,J,Ribosome,2.53848097,Ab 1428368,Translation,Defensive
EYU54162.1,ribosomal L25p family protein,This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance,"Ribosomal_L25p,Ribosomal_TL5_C",ctc,J,Ribosome,2.952896351,Ab 1428368,Translation,Defensive
EYU54191.1,ribosomal protein S12,structural constituent of ribosome,Ribosom_S12_S23,MRPS12,J,Ribosome,3.706195323,Ab 1428368,Translation,Defensive
EYU54192.1,ribosomal protein S7,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA",Ribosomal_S7,rpsG,J,Ribosome,4.107815366,Ab 1428368,Translation,Defensive
EYU54075.1,alanine--tRNA ligase,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain,"DHHA1,tRNA-synt_2c,tRNA_SAD",alaS,J,Aminoacyl-tRNA biosynthesis,2.14576366,Ab 1428368,Translation,Defensive
EYU53904.1,ribonuclease 3,"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism","Ribonucleas_3_3,dsrm",rnc,J,Ribosome biogenesis in eukaryotes,2.232594004,Ab 1428368,Translation,Defensive
EYU53646.1,"glycine--tRNA ligase, beta subunit",Glycyl-tRNA synthetase beta subunit,"DALR_1,tRNA_synt_2f",glyS,J,Aminoacyl-tRNA biosynthesis,2.638783081,Ab 1428368,Translation,Defensive
EYU53647.1,"glycine--tRNA ligase, alpha subunit","glycyl-tRNA synthetase, alpha subunit",tRNA-synt_2e,glyQ,J,Aminoacyl-tRNA biosynthesis,2.78283021,Ab 1428368,Translation,Defensive
EYU53711.1,ribosomal protein S10,Involved in the binding of tRNA to the ribosomes,Ribosomal_S10,rpsJ,J,Ribosome,3.780416349,Ab 1428368,Translation,Defensive
EYU53712.1,50S ribosomal protein L3,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit",Ribosomal_L3,rplC,J,Ribosome,4.437624275,Ab 1428368,Translation,Defensive
