Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
KGP67756.1,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit","Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA",ACCA,accA,I,Fatty acid biosynthesis,-1.136970551,Ab AB5075,Lipid metabolism,Pessimistic
KGP64907.1,"acetyl-CoA carboxylase, biotin carboxyl carrier protein","first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",Biotin_lipoyl,accB,I,Fatty acid biosynthesis,-1.909702587,Ab AB5075,Lipid metabolism,Pessimistic
KGP64735.1,"acetyl-CoA carboxylase, biotin carboxylase subunit",Biotin carboxylase,"Biotin_carb_C,Biotin_carb_N,CPSase_L_D2",accC,I,Fatty acid biosynthesis,-2.043372965,Ab AB5075,Lipid metabolism,Pessimistic
KGP64591.1,KR domain protein,KR domain,adh_short_C2,fabG,IQ,Fatty acid biosynthesis,-1.262462005,Ab AB5075,Lipid metabolism,Pessimistic
KGP68025.1,acetyl-CoA C-acyltransferase FadA,Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed,"Thiolase_C,Thiolase_N",fadA,I,Fatty acid degradation,-2.293979292,Ab AB5075,Lipid metabolism,Pessimistic
KGP67986.1,"fatty oxidation complex, alpha subunit FadB",Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate,"3HCDH,3HCDH_N,ECH_1",fadB,I,Fatty acid degradation,-2.381795782,Ab AB5075,Lipid metabolism,Pessimistic
KGP64914.1,acetyl-CoA C-acyltransferase,Belongs to the thiolase family,"Thiolase_C,Thiolase_N",fadI,I,Fatty acid degradation,-1.779977505,Ab AB5075,Lipid metabolism,Pessimistic
KGP66342.1,acetylglutamate kinase,Belongs to the acetylglutamate kinase family. ArgB subfamily,"AA_kinase,NAT",argB,E,Arginine biosynthesis,-1.078723875,Ab AB5075,Amino acid metabolism,Pessimistic
KGP66779.1,argininosuccinate synthase,Belongs to the argininosuccinate synthase family. Type,Arginosuc_synth,argG,E,Arginine biosynthesis,-1.009860297,Ab AB5075,Amino acid metabolism,Pessimistic
KGP66446.1,succinylornithine transaminase/acetylornithine aminotransferase,acetylornithine aminotransferase,Aminotran_3,argD,E,Arginine biosynthesis,-2.929973974,Ab AB5075,Amino acid metabolism,Pessimistic
KGP64545.1,argininosuccinate lyase,argininosuccinate lyase,"ASL_C2,Lyase_1",argH,E,Arginine biosynthesis,-1.265624304,Ab AB5075,Amino acid metabolism,Pessimistic
KGP66203.1,delta-1-pyrroline-5-carboxylate dehydrogenase,Oxidizes proline to glutamate for use as a carbon and nitrogen source,"Aldedh,Pro_dh,Pro_dh-DNA_bdg",putA,CE,Arginine and proline metabolism,-2.447186831,Ab AB5075,Amino acid metabolism,Pessimistic
KGP68032.1,glutamate-5-semialdehyde dehydrogenase,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,Aldedh,proA,E,Arginine and proline metabolism,-2.183869576,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67755.1,pyrroline-5-carboxylate reductase,Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline,"F420_oxidored,P5CR_dimer",proC,E,Arginine and proline metabolism,-1.133363944,Ab AB5075,Amino acid metabolism,Pessimistic
KGP65363.1,"glutamine synthetase, type I",glutamine synthetase,"Gln-synt_C,Gln-synt_N",glnA,E,"Alanine, aspartate and glutamate metabolism",-1.120714899,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67570.1,"methionine synthase, vitamin-B12 independent","Cobalamin-independent synthase, Catalytic domain",Meth_synt_2,metE,E,Cysteine and methionine metabolism,-1.284312988,Ab AB5075,Amino acid metabolism,Pessimistic
KGP66016.1,O-succinylhomoserine sulfhydrylase,Catalyzes the formation of L-homocysteine from O- succinyl-L-homoserine (OSHS) and hydrogen sulfide,Cys_Met_Meta_PP,metZ,E,Cysteine and methionine metabolism,-1.452503372,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67276.1,glutathione synthase,Belongs to the prokaryotic GSH synthase family,"GSH-S_ATP,GSH-S_N",gshB,H,Cysteine and methionine metabolism,-1.547418769,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67090.1,glutamate--cysteine ligase,Belongs to the glutamate--cysteine ligase type 1 family. Type 1 subfamily,"ATP-grasp_3,Glu_cys_ligase",gshA,H,Cysteine and methionine metabolism,-1.468821162,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67950.1,homoserine O-acetyltransferase,"Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine",Abhydrolase_1,metX,E,Cysteine and methionine metabolism,-1.76760922,Ab AB5075,Amino acid metabolism,Pessimistic
KGP67545.1,"transcriptional regulatory protein, C-terminal domain protein",COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",rstA,K,Two-component system,-1.793630885,Ab AB5075,Signal transduction,Pessimistic
KGP67298.1,putative transcriptional regulatory protein OmpR,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",ompR,K,Two-component system,-1.691909849,Ab AB5075,Signal transduction,Pessimistic
KGP64570.1,putative response regulator UvrY,response regulator,"GerE,Response_reg",gacA,K,Two-component system,-1.505507839,Ab AB5075,Signal transduction,Pessimistic
KGP67765.1,GHKL domain protein,Histidine kinase,"DUF2222,HAMP,HATPase_c,HisKA,Hpt,Response_reg",barA,T,Two-component system,-1.357037104,Ab AB5075,Signal transduction,Pessimistic
KGP65647.1,response regulator receiver domain protein,"Transcriptional regulatory protein, C terminal","Response_reg,Trans_reg_C",baeR,K,Two-component system,-1.692896182,Ab AB5075,Signal transduction,Pessimistic
KGP67666.1,GHKL domain protein,Histidine kinase,"HAMP,HATPase_c,HisKA",rstB,T,Two-component system,-1.612776795,Ab AB5075,Signal transduction,Pessimistic
KGP67068.1,GHKL domain protein,Histidine kinase,"HAMP,HATPase_c,HisKA",envZ,T,Two-component system,-1.432099113,Ab AB5075,Signal transduction,Pessimistic
KGP65781.1,GHKL domain protein,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain","HAMP,HATPase_c,HisKA",baeS,T,Two-component system,-1.553668171,Ab AB5075,Signal transduction,Pessimistic
KGP66636.1,NLPA lipoprotein,NLPA lipoprotein,Lipoprotein_9,metQ_1,P,ABC transporters,-2.548135813,Ab AB5075,Membrane transport,Pessimistic
KGP66990.1,"LPS ABC transporter, ATP-binding protein",ABC transporter,"ABC_tran,BCA_ABC_TP_C",lptB,S,ABC transporters,-1.040450199,Ab AB5075,Membrane transport,Pessimistic
KGP66978.1,type I secretion system ATPase,ABC transporter transmembrane region,"ABC_membrane,ABC_tran",-,V,ABC transporters,-1.61980073,Ab AB5075,Membrane transport,Pessimistic
KGP66387.1,NMT1/THI5-like protein,Substrate binding domain of ABC-type glycine betaine transport system,"NMT1,OpuAC",tauA,P,ABC transporters,-5.030579761,Ab AB5075,Membrane transport,Pessimistic
KGP66666.1,"ABC transporter, permease protein",Binding-protein-dependent transport system inner membrane component,BPD_transp_1,tauC,P,ABC transporters,-3.12660251,Ab AB5075,Membrane transport,Pessimistic
KGP67322.1,toluene tolerance protein Ttg2D,MlaC protein,MlaC,ttg2D,Q,ABC transporters,-1.314035789,Ab AB5075,Membrane transport,Pessimistic
KGP67404.1,sulfate-binding protein,sulfate ABC transporter,SBP_bac_11,sbp,P,ABC transporters,-1.800599503,Ab AB5075,Membrane transport,Pessimistic
KGP64499.1,"LPS ABC transporter, permease protein LptF",Predicted permease YjgP/YjgQ family,YjgP_YjgQ,lptF,S,ABC transporters,-1.36582405,Ab AB5075,Membrane transport,Pessimistic
KGP64541.1,"LPS ABC transporter, permease protein LptG",Predicted permease YjgP/YjgQ family,YjgP_YjgQ,lptG,S,ABC transporters,-1.382329853,Ab AB5075,Membrane transport,Pessimistic
KGP67935.1,MacB-like periplasmic core domain protein,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides","ABC_tran,FtsX,MacB_PCD",macB,V,ABC transporters,-1.179620354,Ab AB5075,Membrane transport,Pessimistic
KGP68240.1,putative high-affinity zinc uptake system membrane protein ZnuB,ABC 3 transport family,ABC-3,znuB,P,ABC transporters,-1.113599684,Ab AB5075,Membrane transport,Pessimistic
KGP68174.1,"ABC transporter, ATP-binding protein",Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system,ABC_tran,znuC,P,ABC transporters,-1.08953048,Ab AB5075,Membrane transport,Pessimistic
KGP65840.1,"phosphate ABC transporter, ATP-binding protein",Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system,ABC_tran,pstB,P,ABC transporters,-1.048958081,Ab AB5075,Membrane transport,Pessimistic
KGP65811.1,"phosphate ABC transporter, permease protein PstA",Phosphate transport system permease,"BPD_transp_1,DUF3333",pstA,P,ABC transporters,-1.02620015,Ab AB5075,Membrane transport,Pessimistic
KGP65296.1,"phosphate ABC transporter, permease protein PstC",probably responsible for the translocation of the substrate across the membrane,"BPD_transp_1,DUF3708",pstC,P,ABC transporters,-1.240835754,Ab AB5075,Membrane transport,Pessimistic
KGP65659.1,"sulfate ABC transporter, permease protein CysT",Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysT,O,ABC transporters,-2.579093897,Ab AB5075,Membrane transport,Pessimistic
KGP65805.1,"sulfate ABC transporter, permease protein CysW",Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysW,P,ABC transporters,-1.562001232,Ab AB5075,Membrane transport,Pessimistic
KGP64768.1,NLPA lipoprotein,NLPA lipoprotein,Lipoprotein_9,metQ,P,ABC transporters,-1.451007131,Ab AB5075,Membrane transport,Pessimistic
KGP66884.1,"type VI secretion protein, VC_A0107 family","Type VI secretion system, VipA, VC_A0107 or Hcp2",T6SS_VipA,evpA,S,Biofilm formation - Pseudomonas aeruginosa,2.584396191,Ab AB5075,Cellular community - prokaryotes,Defensive
KGP66579.1,"type VI secretion protein, EvpB/VC_A0108 family","Type VI secretion protein, EvpB/VC_A0108, tail sheath",VipB,evpB,S,Biofilm formation - Pseudomonas aeruginosa,1.929137169,Ab AB5075,Cellular community - prokaryotes,Defensive
KGP68238.1,putative acyl-homoserine-lactone synthase,Involved in the synthesis of the acyl-homoserine lactone (AHL) signal N-(3-hydroxydodecanoyl)-L-HSL (3-hydroxy-C(12)-HSL or OH-dDHL),Autoind_synth,vanI,H,Quorum sensing,2.36399536,Ab AB5075,Cellular community - prokaryotes,Defensive
KGP64659.1,transcriptional activator protein Irlr,"Transcriptional regulatory protein, C terminal","Response_reg,Trans_reg_C",czcR,KT,Two-component system,1.196660194,Ab AB5075,Signal transduction,Defensive
KGP67548.1,ribosomal protein L32,Belongs to the bacterial ribosomal protein bL32 family,Ribosomal_L32p,rpmF,J,Ribosome,1.283712841,Ab AB5075,Translation,Defensive
KGP67606.1,ribosomal protein S12,structural constituent of ribosome,Ribosom_S12_S23,MRPS12,J,Ribosome,1.078874691,Ab AB5075,Translation,Defensive
KGP66270.1,ribosomal protein S20,Binds directly to 16S ribosomal RNA,Ribosomal_S20p,rpsT,J,Ribosome,2.345623059,Ab AB5075,Translation,Defensive
KGP67379.1,ribosomal protein L36,Belongs to the bacterial ribosomal protein bL36 family,Ribosomal_L36,rpmJ,J,Ribosome,1.117576469,Ab AB5075,Translation,Defensive
KGP67343.1,50S ribosomal protein L4,Forms part of the polypeptide exit tunnel,Ribosomal_L4,rplD,J,Ribosome,1.261331891,Ab AB5075,Translation,Defensive
KGP67424.1,50S ribosomal protein L3,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit",Ribosomal_L3,rplC,J,Ribosome,1.443337943,Ab AB5075,Translation,Defensive
KGP67384.1,ribosomal protein S10,Involved in the binding of tRNA to the ribosomes,Ribosomal_S10,rpsJ,J,Ribosome,1.632825384,Ab AB5075,Translation,Defensive
KGP67484.1,ribosomal protein L34,Belongs to the bacterial ribosomal protein bL34 family,Ribosomal_L34,rpmH,J,Ribosome,2.676653285,Ab AB5075,Translation,Defensive
KGP67989.1,ribosomal protein L1,"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release",Ribosomal_L1,rplA,J,Ribosome,1.414307267,Ab AB5075,Translation,Defensive
KGP67803.1,ribosomal protein L10,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",Ribosomal_L10,rplJ,J,Ribosome,1.807864932,Ab AB5075,Translation,Defensive
KGP68023.1,ribosomal protein L7/L12,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation,"Ribosomal_L12,Ribosomal_L12_N",rplL,J,Ribosome,1.945737757,Ab AB5075,Translation,Defensive
KGP67728.1,ribosomal protein S15,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,Ribosomal_S15,rpsO,J,Ribosome,1.644220286,Ab AB5075,Translation,Defensive
KGP67783.1,ribosomal protein L33,Belongs to the bacterial ribosomal protein bL33 family,Ribosomal_L33,rpmG,J,Ribosome,2.749242809,Ab AB5075,Translation,Defensive
KGP67753.1,ribosomal protein L28,Belongs to the bacterial ribosomal protein bL28 family,Ribosomal_L28,rpmB,J,Ribosome,2.457904375,Ab AB5075,Translation,Defensive
KGP67729.1,ribosomal protein L35,Belongs to the bacterial ribosomal protein bL35 family,Ribosomal_L35p,rpmI,J,Ribosome,1.513088325,Ab AB5075,Translation,Defensive
KGP67996.1,ribosomal protein L20,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,Ribosomal_L20,rplT,J,Ribosome,1.575145511,Ab AB5075,Translation,Defensive
KGP65583.1,ribosomal protein L31,Binds the 23S rRNA,Ribosomal_L31,rpmE,J,Ribosome,2.070460399,Ab AB5075,Translation,Defensive
KGP65847.1,ribosomal protein L27,Belongs to the bacterial ribosomal protein bL27 family,Ribosomal_L27,rpmA,J,Ribosome,1.433549988,Ab AB5075,Translation,Defensive
KGP65883.1,ribosomal protein L21,This protein binds to 23S rRNA in the presence of protein L20,Ribosomal_L21p,rplU,J,Ribosome,1.038273719,Ab AB5075,Translation,Defensive
KGP65107.1,ribosomal protein S6,Binds together with S18 to 16S ribosomal RNA,Ribosomal_S6,rpsF,J,Ribosome,1.999196237,Ab AB5075,Translation,Defensive
KGP64697.1,ribosomal protein S18,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit",Ribosomal_S18,rpsR,J,Ribosome,1.845692628,Ab AB5075,Translation,Defensive
KGP64624.1,ribosomal protein L9,Binds to the 23S rRNA,"Ribosomal_L9_C,Ribosomal_L9_N",rplI,J,Ribosome,1.883397281,Ab AB5075,Translation,Defensive
KGP67620.1,[acyl-carrier-protein] S-malonyltransferase,malonyl CoA-acyl carrier protein transacylase,Acyl_transf_1,fabD,I,Fatty acid biosynthesis,1.348947544,Ab AB5075,Lipid metabolism,Defensive
