Protein accession,Name,Description,PFAMs,Preferred_name,COG_category,Pathway_name,FC,Strain,Main. Classification. Pathway,Strategy
UZK36767.1,imidazolonepropionase,Amidohydrolase family,"Amidohydro_1,Amidohydro_3",hutI,Q,Histidine metabolism,1.453779894,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK36768.1,formimidoylglutamase,Catalyzes the conversion of N-formimidoyl-L-glutamate to L-glutamate and formamide,Arginase,hutG,E,Histidine metabolism,1.077369523,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38268.1,NAD-dependent phenylacetaldehyde dehydrogenase,Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the reversible oxidation of betaine aldehyde to the corresponding acid,Aldedh,-,C,Histidine metabolism,1.028346922,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK39619.1,aromatic amino acid lyase,histidine ammonia-lyase activity,Lyase_aromatic,hutH,E,Histidine metabolism,2.085362077,Ab ATCC 17978,Amino acid metabolism,Defensive
UZK38026.1,acetyl-CoA C-acetyltransferase,Belongs to the thiolase family,"Thiolase_C,Thiolase_N",fadI,I,Fatty acid degradation,1.795226344,Ab ATCC 17978,Lipid metabolism,Defensive
UZK38438.1,acetyl-CoA C-acyltransferase,Belongs to the thiolase family,"Thiolase_C,Thiolase_N",atoB,I,Fatty acid degradation,1.124177055,Ab ATCC 17978,Lipid metabolism,Defensive
UZK38860.1,3-oxoadipyl-CoA thiolase,Belongs to the thiolase family,"Thiolase_C,Thiolase_N",paaJ,I,Fatty acid degradation,1.29038378,Ab ATCC 17978,Lipid metabolism,Defensive
UZK38863.1,"2,3-dehydroadipyl-CoA hydratase",Enoyl-CoA hydratase/isomerase,ECH_1,paaF,I,Fatty acid degradation,1.262682505,Ab ATCC 17978,Lipid metabolism,Defensive
QXV68755.1,acyl-CoA dehydrogenase,Domain of unknown function (DUF1974),"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N,DUF1974",fadE,I,Fatty acid degradation,2.495124834,Ab ATCC 19606,Lipid metabolism,Defensive
QXV71015.1,fatty acid oxidation complex subunit alpha,Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate,"3HCDH,3HCDH_N,ECH_1",fadB,I,Fatty acid degradation,1.611188307,Ab ATCC 19606,Lipid metabolism,Defensive
QXV71016.1,3-ketoacyl-CoA thiolase,Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed,"Thiolase_C,Thiolase_N",fadA,I,Fatty acid degradation,1.803055372,Ab ATCC 19606,Lipid metabolism,Defensive
UZK38027.1,3-oxoacyl-ACP reductase,KR domain,adh_short_C2,fabG,IQ,Fatty acid biosynthesis,1.215116346,Ab ATCC 17978,Lipid metabolism,Defensive
UZK39611.1,beta-ketoacyl-ACP synthase,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP,"Ketoacyl-synt_C,ketoacyl-synt",fabF,I,Fatty acid biosynthesis,1.910382582,Ab ATCC 17978,Lipid metabolism,Defensive
UZK39614.1,beta-ketoacyl-[acyl-carrier-protein] synthase family protein,"Beta-ketoacyl synthase, C-terminal domain","Ketoacyl-synt_C,ketoacyl-synt",fabF2,IQ,Fatty acid biosynthesis,2.304578792,Ab ATCC 17978,Lipid metabolism,Defensive
QXV68629.1,NADH dehydrogenase,Pyridine nucleotide-disulphide oxidoreductase,Pyr_redox_2,ndh,C,Oxidative phosphorylation,1.087235949,Ab ATCC 19606,Energy metabolism,Defensive
QXV69327.1,pyridine nucleotide-disulfide oxidoreductase,Pyridine nucleotide-disulphide oxidoreductase,Pyr_redox_2,-,C,Oxidative phosphorylation,1.508743112,Ab ATCC 19606,Energy metabolism,Defensive
QXV70639.1,NADH-quinone oxidoreductase subunit K,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Oxidored_q2,nuoK,C,Oxidative phosphorylation,1.219227495,Ab ATCC 19606,Energy metabolism,Defensive
QXV70640.1,NADH dehydrogenase,Belongs to the complex I subunit 6 family,Oxidored_q3,nuoJ,C,Oxidative phosphorylation,1.052496234,Ab ATCC 19606,Energy metabolism,Defensive
QXV70641.1,NADH-quinone oxidoreductase subunit I,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",Fer4,nuoI,C,Oxidative phosphorylation,1.008439925,Ab ATCC 19606,Energy metabolism,Defensive
QXV70642.1,NADH-quinone oxidoreductase subunit H,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone",NADHdh,nuoH,C,Oxidative phosphorylation,1.116621902,Ab ATCC 19606,Energy metabolism,Defensive
UZK37387.1,multidrug efflux RND transporter permease subunit AdeJ,efflux pump,ACR_tran,acrB,V,beta-Lactam resistance,1.390624585,Ab ATCC 17978,Drug resistance: antimicrobial,Defensive
UZK37388.1,multidrug efflux RND transporter periplasmic adaptor subunit AdeI,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,HlyD_D23,acrA,M,beta-Lactam resistance,1.521608063,Ab ATCC 17978,Drug resistance: antimicrobial,Defensive
QXV69010.1,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA","Exports the biofilm adhesin polysaccharide poly-beta- 1,6-N-acetyl-D-glucosamine (PGA) across the outer membrane. The PGA transported seems to be partially N-deacetylated since N- deacetylation of PGA by PgaB is needed for PGA export through the PgaA porin","TPR_16,TPR_19",pgaA,S,Biofilm formation - Escherichia coli,3.996131404,Ab ATCC 19606,Cellular community - prokaryotes,Defensive
QXV69011.1,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB",Hypothetical glycosyl hydrolase family 13,"GHL13,Polysacc_deac_1",pgaB,G,Biofilm formation - Escherichia coli,3.732081994,Ab ATCC 19606,Cellular community - prokaryotes,Defensive
QXV69012.1,"poly-beta-1,6 N-acetyl-D-glucosamine synthase",Glycosyl transferase family 21,Glyco_tranf_2_3,pgaC,M,Biofilm formation - Escherichia coli,3.165609798,Ab ATCC 19606,Cellular community - prokaryotes,Defensive
QXV69013.1,"poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD",PgaD-like protein,PgaD,-,S,Biofilm formation - Escherichia coli,3.221729517,Ab ATCC 19606,Cellular community - prokaryotes,Defensive
QXV70651.1,two-component system sensor histidine kinase,Histidine kinase,"HAMP,HATPase_c,HisKA",rstB,T,Two-component system,1.478590058,Ab ATCC 19606,Signal transduction,Defensive
QXV70652.1,DNA-binding response regulator,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,"Response_reg,Trans_reg_C",rstA,K,Two-component system,2.071481733,Ab ATCC 19606,Signal transduction,Defensive
UZK40131.1,sensor histidine kinase efflux regulator BaeS,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain","HAMP,HATPase_c,HisKA",baeS,T,Two-component system,3.086361286,Ab ATCC 17978,Signal transduction,Defensive
UZK37253.1,response regulator,"Transcriptional regulatory protein, C terminal","Response_reg,Trans_reg_C",baeR,K,Two-component system,2.782158635,Ab ATCC 17978,Signal transduction,Defensive
UZK39847.1,DNA-binding response regulator,LytTr DNA-binding domain,"LytTR,Response_reg",algR,KT,Two-component system,1.105463893,Ab ATCC 17978,Signal transduction,Defensive
UZK37059.1,outer membrane lipid asymmetry maintenance protein MlaD,MlaD protein,MlaD,ttg2C,Q,ABC transporters,2.294923216,Ab ATCC 17978,Membrane transport,Defensive
UZK40123.1,ABC transporter substrate-binding protein,MlaC protein,MlaC,ttg2D,Q,ABC transporters,3.143537821,Ab ATCC 17978,Membrane transport,Defensive
UZK37060.1,STAS domain-containing protein,STAS domain,STAS_2,-,S,ABC transporters,3.221153593,Ab ATCC 17978,Membrane transport,Defensive
UZK40144.1,lipoprotein-releasing ABC transporter permease subunit,MacB-like periplasmic core domain,"FtsX,MacB_PCD",lolC,M,ABC transporters,2.666116643,Ab ATCC 17978,Membrane transport,Defensive
UZK37514.1,lipoprotein-releasing ABC transporter ATP-binding protein LolD,"Part of the ABC transporter complex LolCDE involved in the translocation of lipoproteins, in an ATP-dependent manner",ABC_tran,lolD,V,ABC transporters,2.815038733,Ab ATCC 17978,Membrane transport,Defensive
UZK37665.1,phosphonate ABC transporter substrate-binding protein,PBP superfamily domain,PBP_like_2,pstS,P,ABC transporters,2.011395784,Ab ATCC 17978,Membrane transport,Defensive
UZK37666.1,phosphate ABC transporter permease subunit PstC,probably responsible for the translocation of the substrate across the membrane,"BPD_transp_1,DUF3708",pstC,P,ABC transporters,1.57654569,Ab ATCC 17978,Membrane transport,Defensive
UZK37667.1,phosphate ABC transporter permease PstA,Phosphate transport system permease,"BPD_transp_1,DUF3333",pstA,P,ABC transporters,1.523700892,Ab ATCC 17978,Membrane transport,Defensive
UZK39601.1,MacB family efflux pump subunit,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides","ABC_tran,FtsX,MacB_PCD",macB,V,ABC transporters,5.095818217,Ab ATCC 17978,Membrane transport,Defensive
QXV68286.1,acetyl-CoA carboxylase carboxyltransferase subunit beta,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,Carboxyl_trans,accD,I,Fatty acid biosynthesis,-1.402117372,Ab ATCC 19606,Lipid metabolism,Evasive
QXV69138.1,acetyl-CoA carboxylase biotin carboxylase subunit,Biotin carboxylase,"Biotin_carb_C,Biotin_carb_N,CPSase_L_D2",accC,I,Fatty acid biosynthesis,-1.6424112,Ab ATCC 19606,Lipid metabolism,Evasive
QXV69139.1,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA",Biotin_lipoyl,accB,I,Fatty acid biosynthesis,-1.877629945,Ab ATCC 19606,Lipid metabolism,Evasive
QXV69184.1,(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs,FabA,fabZ,I,Fatty acid biosynthesis,-1.271335209,Ab ATCC 19606,Lipid metabolism,Evasive
QXV70544.1,3-oxoacyl-ACP synthase,Belongs to the beta-ketoacyl-ACP synthases family,"Ketoacyl-synt_C,ketoacyl-synt",fabB,IQ,Fatty acid biosynthesis,-1.524396089,Ab ATCC 19606,Lipid metabolism,Evasive
QXV70581.1,beta-ketoacyl-ACP reductase,KR domain,adh_short_C2,fabG,IQ,Fatty acid biosynthesis,-1.624842782,Ab ATCC 19606,Lipid metabolism,Evasive
QXV70582.1,fabD,malonyl CoA-acyl carrier protein transacylase,Acyl_transf_1,fabD,I,Fatty acid biosynthesis,-1.849983094,Ab ATCC 19606,Lipid metabolism,Evasive
QXV70732.1,acetyl-CoA carboxylase carboxyl transferase subunit alpha,"Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA",ACCA,accA,I,Fatty acid biosynthesis,-1.841655686,Ab ATCC 19606,Lipid metabolism,Evasive
QXV70802.1,NADH-dependent enoyl-ACP reductase,Enoyl- acyl-carrier-protein reductase NADH,adh_short_C2,fabI,I,Fatty acid biosynthesis,-1.620703206,Ab ATCC 19606,Lipid metabolism,Evasive
QXV69674.1,biotin synthase,Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism,"BATS,Radical_SAM",bioB,H,Biotin metabolism,-1.354031321,Ab ATCC 19606,Metabolism of cofactors and vitamins,Evasive
QXV70591.1,malonyl-[acyl-carrier protein] O-methyltransferase BioC,Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway,"Methyltransf_11,Methyltransf_23,Methyltransf_25",bioC,H,Biotin metabolism,-1.403028672,Ab ATCC 19606,Metabolism of cofactors and vitamins,Evasive
QXV70592.1,8-amino-7-oxononanoate synthase,8-amino-7-oxononanoate synthase,Aminotran_1_2,bioF,E,Biotin metabolism,-1.362297212,Ab ATCC 19606,Metabolism of cofactors and vitamins,Evasive
QXV70593.1,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor",Aminotran_3,bioA,H,Biotin metabolism,-1.198598593,Ab ATCC 19606,Metabolism of cofactors and vitamins,Evasive
UZK38769.1,cytochrome ubiquinol oxidase subunit I,Ubiquinol Oxidase,Cyt_bd_oxida_I,cioA,C,Oxidative phosphorylation,-1.552324848,Ab ATCC 17978,Energy metabolism,Evasive
UZK38770.1,cytochrome d ubiquinol oxidase subunit II,Cytochrome bd terminal oxidase subunit II,Cyt_bd_oxida_II,cioB,C,Oxidative phosphorylation,-1.121847879,Ab ATCC 17978,Energy metabolism,Evasive
QXV69185.1,UDP-N-acetylglucosamine O-acyltransferase,"Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell","Acetyltransf_11,Hexapep",lpxA,M,Lipopolysaccharide biosynthesis,-1.248722528,Ab ATCC 19606,Glycan biosynthesis and metabolism,Evasive
QXV68008.1,ABC transporter permease,sulfate ABC transporter,SBP_bac_11,sbp,P,ABC transporters,-1.207313361,Ab ATCC 19606,Membrane transport,Evasive
QXV68578.1,sulfate transporter,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysT,O,ABC transporters,-1.224378083,Ab ATCC 19606,Membrane transport,Evasive
QXV69706.1,ABC transporter,ABC transporter,ABC_tran,gltL,E,ABC transporters,-1.251214924,Ab ATCC 19606,Membrane transport,Evasive
QXV69708.1,amino acid transporter,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,gltJ,P,ABC transporters,-1.781781633,Ab ATCC 19606,Membrane transport,Evasive
QXV69709.1,ABC transporter substrate-binding protein,Bacterial periplasmic substrate-binding proteins,SBP_bac_3,gltI,ET,ABC transporters,-1.049071357,Ab ATCC 19606,Membrane transport,Evasive
QXV69757.1,taurine ABC transporter ATP-binding protein,Part of the ABC transporter complex TauABC involved in taurine import. Responsible for energy coupling to the transport system,ABC_tran,tauB,P,ABC transporters,-1.125693729,Ab ATCC 19606,Membrane transport,Evasive
QXV69758.1,"taurine ABC transporter, periplasmic binding protein",Substrate binding domain of ABC-type glycine betaine transport system,"NMT1,OpuAC",tauA,P,ABC transporters,-1.189204512,Ab ATCC 19606,Membrane transport,Evasive
UZK37580.1,sulfate ABC transporter permease subunit CysW,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,cysW,P,ABC transporters,-1.016239136,Ab ATCC 17978,Membrane transport,Evasive
UZK38721.1,methionine transporter,NLPA lipoprotein,Lipoprotein_9,metQ1,P,ABC transporters,-2.482468255,Ab ATCC 17978,Membrane transport,Evasive
UZK38723.1,ATP-binding cassette domain-containing protein,Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system,"ABC_tran,NIL",metN,P,ABC transporters,-2.071548348,Ab ATCC 17978,Membrane transport,Evasive
UZK38724.1,ABC transporter permease,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,metI,P,ABC transporters,-1.996761911,Ab ATCC 17978,Membrane transport,Evasive
UZK39156.1,NLPA lipoprotein,NLPA lipoprotein,Lipoprotein_9,metQ_1,P,ABC transporters,-1.122738895,Ab ATCC 17978,Membrane transport,Evasive
UZK40061.1,sulfonate ABC transporter substrate-binding protein,ABC transporter substrate-binding protein,"NMT1,NMT1_2",ssuA,P,ABC transporters,-1.593150775,Ab ATCC 17978,Membrane transport,Evasive
UZK40064.1,aliphatic sulfonate ABC transporter permease SsuC,Binding-protein-dependent transport system inner membrane component,BPD_transp_1,ssuC,P,ABC transporters,-1.406916703,Ab ATCC 17978,Membrane transport,Evasive
UZK40065.1,ATP-binding cassette domain-containing protein,Part of the ABC transporter complex SsuABC involved in aliphatic sulfonates import. Responsible for energy coupling to the transport system,ABC_tran,ssuB,P,ABC transporters,-1.65978486,Ab ATCC 17978,Membrane transport,Evasive
